iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7528,145.459961,756.630005,0.596768,0.617956,0.0,0.0,0.055328,75176.0,0.1094,0.18427,0.146358,0.275725,-0.045855,0.528034,6.839864,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.378254,-0.110642,-0.009941,0.0,0.0,-0.061486,-0.014411,-0.01246,-0.022456,0.628008,-0.030597,-0.081628,-0.005927,-0.019407,1.410064,3.34366,-0.068468,-0.000693,-0.156825,4.208333,0.02003,0.082029,0.128883
7529,147.422256,778.640015,0.618637,0.645781,0.0,0.0,0.055348,78279.0,0.109529,0.184634,0.149491,0.271475,-0.045791,0.526602,6.826252,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.390265,-0.114826,-0.009819,0.0,0.0,-0.059165,-0.014306,-0.011802,-0.021468,0.650591,-0.030582,-0.079489,-0.005415,-0.018152,1.459952,3.464016,-0.065989,-0.000874,-0.335015,3.869565,0.024275,0.091817,0.139394
7530,153.040909,804.880005,0.662653,0.665915,0.0,0.0,0.055463,77291.0,0.113698,0.195926,0.157877,0.278018,-0.046491,0.553127,6.852763,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.402254,-0.115876,-0.00942,0.0,0.0,-0.063775,-0.014684,-0.012057,-0.021845,0.673571,-0.033041,-0.08836,-0.006184,-0.02094,1.506044,3.553063,-0.06698,-0.000831,-0.26374,4.083333,0.019642,0.093727,0.147151
7531,159.508987,828.429993,0.674631,0.717233,0.0,0.0,0.05545,85644.0,0.113547,0.192808,0.147909,0.269384,-0.044003,0.532438,6.870281,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.414505,-0.123662,-0.008428,0.0,0.0,-0.059452,-0.014454,-0.011136,-0.02099,0.691257,-0.030984,-0.081678,-0.005756,-0.018863,1.55393,3.695824,-0.064906,-0.000618,-0.223489,4.45,0.022632,0.091047,0.128453
7532,164.654373,854.460022,0.709864,0.72126,0.0,0.0,0.055487,75496.0,0.121618,0.206663,0.165586,0.29047,-0.047926,0.585378,6.866121,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.426255,-0.12155,-0.00909,0.0,0.0,-0.06433,-0.015166,-0.011773,-0.022158,0.717731,-0.033836,-0.086777,-0.00602,-0.020995,1.586352,3.775442,-0.067092,-0.000736,-0.191007,4.416667,0.016669,0.08528,0.14286
7533,169.616623,877.340027,0.711007,0.731572,0.0,0.0,0.055433,78844.0,0.117342,0.207072,0.163613,0.292004,-0.046865,0.590348,6.860645,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.438255,-0.124084,-0.009738,0.0,0.0,-0.063754,-0.015293,-0.012197,-0.022025,0.735262,-0.033601,-0.0878,-0.006385,-0.020967,1.65161,3.895528,-0.067757,-0.000757,-0.252753,4.541667,0.019856,0.084144,0.136053
7534,170.674164,901.960022,0.718807,0.769395,0.0,0.0,0.055587,76837.0,0.126415,0.211476,0.179484,0.312082,-0.049454,0.620075,6.848028,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.450332,-0.125458,-0.008709,0.0,0.0,-0.066041,-0.015884,-0.012751,-0.023207,0.759761,-0.034652,-0.09377,-0.006274,-0.020858,1.686129,4.005632,-0.070287,-0.00092,-0.427613,4.695652,0.022271,0.089336,0.136162
7535,174.730179,925.559998,0.732934,0.767042,0.0,0.0,0.055582,76983.0,0.13858,0.225046,0.184628,0.337093,-0.055247,0.639017,6.864789,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.462256,-0.13419,-0.010023,0.0,0.0,-0.076398,-0.017223,-0.015106,-0.026264,0.77086,-0.038264,-0.100025,-0.00742,-0.024602,1.712478,4.077565,-0.080519,-0.000679,-0.371877,4.25,0.020259,0.072333,0.126537
7536,179.758331,948.869995,0.766568,0.807815,0.0,0.0,0.055519,78715.0,0.129554,0.225644,0.177508,0.314056,-0.052765,0.615317,6.811863,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.474256,-0.144644,-0.011159,0.0,0.0,-0.071056,-0.016865,-0.014016,-0.025468,0.794074,-0.036062,-0.094099,-0.006462,-0.021468,1.780711,4.219386,-0.07667,-0.000841,-0.365843,4.583333,0.018376,0.072513,0.131695
7537,184.732635,974.210022,0.781913,0.807126,0.0,0.0,0.0555,78430.0,0.135082,0.235005,0.179835,0.330233,-0.055386,0.635668,6.82287,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.486256,-0.14243,-0.011668,0.0,0.0,-0.075695,-0.017666,-0.014273,-0.026696,0.80366,-0.038794,-0.103476,-0.007289,-0.024095,1.821022,4.306338,-0.080585,-0.000817,-0.349282,4.583333,0.018228,0.06991,0.125473
7538,188.938721,1000.0,0.807764,0.835191,0.0,0.0,0.0554,79223.0,0.14146,0.239888,0.187841,0.339651,-0.055993,0.659868,6.89361,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.497507,-0.145427,-0.010823,0.0,0.0,-0.076444,-0.017793,-0.015,-0.02743,0.829509,-0.03998,-0.106115,-0.007367,-0.025697,1.853024,4.403432,-0.081122,-0.000893,-0.342011,35.041668,0.019977,0.086846,0.134336
