iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
96,68.365654,976.119995,0.913336,0.93935,0.125,0.0,0.661297,69576.0,0.28703,1.480754,0.122607,0.445438,-0.112367,0.559323,8.317032
97,68.827721,983.450012,0.909824,0.935757,0.125,0.0,0.659714,67375.0,0.292735,1.491648,0.128957,0.462529,-0.118582,0.555707,8.281202
98,67.462135,986.0,0.921924,0.94571,0.130435,0.0,0.657912,69758.0,0.294067,1.518361,0.127835,0.45092,-0.115005,0.559712,8.285816
99,69.240318,984.700012,0.918392,0.942398,0.125,0.0,0.656139,71295.0,0.286242,1.494896,0.12396,0.425038,-0.107826,0.513693,8.275532
100,70.651421,992.109985,0.926504,0.949903,0.0,0.0,0.654805,73107.0,0.28948,1.508467,0.128832,0.469099,-0.117082,0.536882,8.283944
101,71.172523,994.799988,0.926623,0.950952,0.041667,0.0,0.653266,69293.0,0.287304,1.510775,0.126132,0.443879,-0.111662,0.528599,8.325624
102,71.362732,1000.0,0.930891,0.957726,0.0,0.0,0.651965,65223.0,0.287795,1.501523,0.127965,0.449412,-0.113211,0.52042,8.331226
103,68.396805,994.559998,0.92533,0.952439,0.043478,0.0,0.651061,3304.0,0.291084,1.529478,0.127059,0.444241,-0.111108,0.511497,8.314957
104,70.685081,992.309998,0.904274,0.934722,0.086957,0.0,0.649834,9207.0,0.280766,1.480292,0.126402,0.450226,-0.111732,0.528185,8.316493
105,66.966843,987.669983,0.922999,0.947935,0.095238,0.0,0.649422,1925.0,0.286189,1.489378,0.127507,0.444697,-0.111175,0.481289,8.325424
106,70.678886,1000.0,0.932292,0.958964,0.0,0.0,0.648527,64622.0,0.283278,1.493597,0.129642,0.43756,-0.109725,0.52095,8.361317
107,70.981552,975.700012,0.89615,0.921536,0.173913,0.0,0.647555,67057.0,0.276302,1.43315,0.128916,0.436685,-0.109316,0.565231,8.345489
108,68.647957,964.679993,0.909724,0.935265,0.181818,0.0,0.646692,72196.0,0.28641,1.448775,0.134846,0.439753,-0.109896,0.590984,8.334473
109,68.98378,977.859985,0.902501,0.928223,0.125,0.0,0.645852,62298.0,0.284964,1.45074,0.132637,0.423167,-0.105541,0.547036,8.333923
110,69.04187,977.26001,0.891871,0.916423,0.217391,0.0,0.644176,60062.0,0.275995,1.443838,0.130271,0.424231,-0.105366,0.520369,8.328945
111,67.736671,969.659973,0.916191,0.944269,0.130435,0.0,0.643811,70523.0,0.279361,1.436713,0.134806,0.445296,-0.110778,0.553987,8.321774
112,68.679985,980.820007,0.921903,0.950162,0.086957,0.0,0.642857,67430.0,0.279206,1.469676,0.132083,0.433282,-0.106246,0.537443,8.335798
113,69.758789,995.97998,0.914842,0.942459,0.043478,0.0,0.642483,71180.0,0.27821,1.449467,0.130446,0.416098,-0.102281,0.555031,8.342709
114,68.851395,985.150024,0.914578,0.94244,0.15,0.0,0.64158,69213.0,0.284272,1.476855,0.139966,0.426337,-0.105525,0.518799,8.322204
115,70.885162,994.429993,0.927847,0.953756,0.043478,0.0,0.641206,77514.0,0.281411,1.46697,0.136823,0.414469,-0.101505,0.570889,8.346299
116,69.611763,996.179993,0.93265,0.957967,0.043478,0.0,0.64072,76951.0,0.286537,1.48719,0.143423,0.455795,-0.113593,0.537861,8.323725
117,69.899887,994.099976,0.9233,0.95252,0.090909,0.0,0.639978,80004.0,0.284091,1.458105,0.141086,0.438695,-0.108545,0.620515,8.359574
118,65.48893,979.02002,0.9073,0.930847,0.142857,0.0,0.639839,81853.0,0.274038,1.453204,0.136778,0.446815,-0.108487,0.531503,8.310065
119,65.354332,985.72998,0.924318,0.952326,0.083333,0.0,0.639176,69938.0,0.275741,1.463635,0.138049,0.463157,-0.113059,0.537346,8.355957
120,67.6008,991.0,0.92515,0.953015,0.086957,0.0,0.639195,64063.0,0.278998,1.448563,0.144468,0.444954,-0.108018,0.60801,8.334007
121,68.171478,995.27002,0.925691,0.954497,0.086957,0.0,0.638737,70740.0,0.277327,1.458464,0.143659,0.471089,-0.114148,0.561302,8.341868
122,65.676788,981.200012,0.912304,0.941251,0.190476,0.0,0.638009,78844.0,0.271943,1.437106,0.140365,0.418344,-0.102095,0.546495,8.349379
123,64.966141,967.099976,0.908827,0.934632,0.173913,0.0,0.636618,71641.0,0.273383,1.404059,0.138445,0.452588,-0.111567,0.551788,8.320362
124,63.575848,993.77002,0.923328,0.957077,0.043478,0.0,0.63534,66870.0,0.286419,1.450349,0.151072,0.425634,-0.103357,0.500488,8.309605
125,65.396103,996.929993,0.931402,0.961618,0.043478,0.0,0.633752,59684.0,0.278798,1.470152,0.146737,0.455763,-0.110909,0.58153,8.338537
126,63.754581,990.580017,0.927535,0.958742,0.083333,0.0,0.63276,62888.0,0.278081,1.448425,0.148115,0.453694,-0.110291,0.541558,8.304014
127,66.053497,998.219971,0.929448,0.958846,0.125,0.0,0.632332,65309.0,0.279479,1.460571,0.147409,0.442806,-0.106929,0.555967,8.312738
128,67.794647,1000.0,0.930192,0.96105,0.0,0.0,0.631915,64568.0,0.276771,1.443211,0.14963,0.452019,-0.109335,0.574963,8.295444
129,69.258919,1000.0,0.927792,0.958658,0.125,0.0,0.629923,64967.0,0.278853,1.44876,0.148564,0.447727,-0.107433,0.56304,8.306667
130,68.122917,1000.0,0.932014,0.962416,0.0,0.0,0.628423,61684.0,0.276526,1.445606,0.149084,0.443906,-0.106789,0.570228,8.310328
131,64.888832,999.75,0.931176,0.961437,0.041667,0.0,0.627163,68897.0,0.275337,1.454186,0.148722,0.441863,-0.10608,0.549252,8.309292
132,64.223587,1000.0,0.928294,0.960832,0.0,0.0,0.625684,66433.0,0.276614,1.442794,0.149693,0.464931,-0.110732,0.567181,8.332382
133,63.741425,1000.0,0.931081,0.96067,0.0,0.0,0.624717,68927.0,0.27833,1.444277,0.150967,0.461409,-0.11011,0.576629,8.302813
134,63.052231,990.52002,0.920937,0.950199,0.125,0.0,0.623281,62795.0,0.272472,1.432204,0.151006,0.450703,-0.107686,0.553773,8.316784
135,64.130699,995.5,0.927369,0.95817,0.083333,0.0,0.621918,57288.0,0.27357,1.43766,0.150956,0.45054,-0.107406,0.577143,8.330304
136,61.466194,982.789978,0.916339,0.947293,0.083333,0.0,0.620442,72238.0,0.270363,1.403075,0.152572,0.45031,-0.107287,0.519874,8.317026
137,66.301727,1000.0,0.929329,0.960138,0.0,0.0,0.618607,67488.0,0.27868,1.450006,0.156293,0.458727,-0.109313,0.578589,8.35215
138,66.234352,969.150024,0.90524,0.934121,0.25,0.0,0.617122,68626.0,0.268697,1.391134,0.150789,0.444109,-0.104966,0.561787,8.349509
139,64.981201,1000.0,0.933609,0.962214,0.0,0.0,0.616113,65403.0,0.265638,1.425856,0.150816,0.451574,-0.106321,0.531602,8.336753
140,64.870117,992.559998,0.92792,0.957057,0.043478,0.0,0.61445,63693.0,0.272831,1.41133,0.157001,0.464824,-0.109381,0.555904,8.357456
141,64.42749,993.48999,0.926283,0.956117,0.041667,0.0,0.612935,68987.0,0.274228,1.429743,0.15569,0.461151,-0.108399,0.562557,8.377552
142,63.093327,983.880005,0.919338,0.949575,0.090909,0.0,0.611642,70635.0,0.266621,1.411354,0.153551,0.46835,-0.108076,0.518354,8.353917
143,64.400955,1000.0,0.930393,0.961339,0.0,0.0,0.610211,72828.0,0.270182,1.419854,0.157558,0.451308,-0.105516,0.537276,8.384501
144,67.829071,1000.0,0.932561,0.96324,0.0,0.0,0.608836,71366.0,0.272792,1.416798,0.157215,0.457264,-0.107716,0.581902,8.337824
145,63.83736,990.0,0.915881,0.943242,0.083333,0.0,0.607811,61935.0,0.266797,1.403699,0.150826,0.466936,-0.107348,0.516301,8.324383
146,66.155045,1000.0,0.928819,0.963706,0.0,0.0,0.606075,76065.0,0.269864,1.418492,0.159865,0.467089,-0.108205,0.581769,8.352172
147,62.806595,982.48999,0.889437,0.919665,0.181818,0.0,0.605361,73616.0,0.26042,1.349798,0.156382,0.447305,-0.104423,0.528579,8.399828
148,62.922962,990.299988,0.923464,0.954036,0.083333,0.0,0.604031,71454.0,0.269141,1.41892,0.158065,0.476178,-0.109731,0.543655,8.375915
149,66.72332,989.119995,0.92874,0.959243,0.045455,0.0,0.602625,74739.0,0.272009,1.423557,0.162029,0.444394,-0.103812,0.586749,8.366595
150,69.095024,987.650024,0.925506,0.957999,0.043478,0.0,0.601257,70468.0,0.269929,1.398434,0.160504,0.479703,-0.110932,0.620295,8.381538
151,68.666206,991.27002,0.921244,0.951295,0.086957,0.0,0.599757,61207.0,0.269029,1.411075,0.158972,0.475877,-0.108339,0.607468,8.369941
152,71.205994,985.409973,0.896309,0.928131,0.083333,0.0,0.598526,66373.0,0.265074,1.355437,0.161845,0.474674,-0.110536,0.602646,8.364115
153,69.079124,982.97998,0.929558,0.959618,0.043478,0.0,0.597928,67444.0,0.261397,1.391447,0.157799,0.443076,-0.101517,0.577841,8.374388
154,67.527206,970.809998,0.900601,0.928523,0.166667,0.0,0.597731,67881.0,0.258034,1.362592,0.155242,0.443924,-0.101875,0.530957,8.361641
155,67.368217,961.679993,0.913118,0.941652,0.142857,0.0,0.597259,72850.0,0.26593,1.389129,0.160598,0.462343,-0.104747,0.623944,8.381025
