iteration,reward,episode_length,height_reward,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
306,73.674988,1000.0,1.977816,-0.01749,0.0,0.0,0.244394,53401.0
307,73.247581,998.0,1.967717,-0.017899,0.043478,0.0,0.244255,52676.0
308,72.198311,986.869995,1.948268,-0.021924,0.125,0.0,0.243936,43696.0
309,72.431145,986.869995,1.978773,-0.019141,0.0,0.0,0.241958,50748.0
310,73.418571,1000.0,1.975081,-0.02032,0.0,0.0,0.24119,46532.0
311,72.462013,988.590027,1.947301,-0.020349,0.181818,0.0,0.241598,52770.0
312,71.94651,981.299988,1.946266,-0.01796,0.083333,0.0,0.242257,35521.0
313,72.082153,982.570007,1.968419,-0.018603,0.05,0.0,0.242119,37715.0
314,72.936737,993.47998,1.968278,-0.020003,0.083333,0.0,0.242162,33801.0
315,72.293091,984.330017,1.940255,-0.022068,0.083333,0.0,0.240776,54966.0
316,73.402077,1000.0,1.976744,-0.019903,0.0,0.0,0.239532,54384.0
317,72.434113,987.369995,1.948487,-0.018685,0.090909,0.0,0.239463,56824.0
318,72.691437,989.719971,1.968901,-0.019776,0.041667,0.0,0.238719,54689.0
319,73.111984,995.450012,1.956194,-0.01902,0.045455,0.0,0.239197,56000.0
320,72.749229,992.460022,1.955601,-0.017731,0.086957,0.0,0.238863,56118.0
321,73.10778,994.799988,1.963205,-0.018816,0.043478,0.0,0.238297,45878.0
322,73.583099,1000.0,1.97694,-0.017206,0.0,0.0,0.237038,53444.0
323,73.299614,996.080017,1.968077,-0.017352,0.047619,0.0,0.236037,59159.0
324,73.556129,1000.0,1.973775,-0.018054,0.0,0.0,0.235546,56905.0
325,72.492332,985.140015,1.922366,-0.018448,0.086957,0.0,0.235153,49282.0
326,72.364113,983.549988,1.934204,-0.016195,0.086957,0.0,0.234076,50284.0
327,72.353706,983.580017,1.946712,-0.01766,0.086957,0.0,0.23452,50836.0
328,72.591316,985.140015,1.942488,-0.01778,0.125,0.0,0.234724,40687.0
329,73.14006,992.969971,1.952965,-0.018715,0.045455,0.0,0.23515,51505.0
