iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7528,109.821678,670.549988,0.517636,0.536219,0.791667,0.041667,0.069867,49783.0,0.185553,0.227656,0.106261,0.239123,-0.045491,0.385752,10.716194,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.337686,-0.111166,-0.015428,0.0,-0.008217,-0.090573,-0.019073,-0.01458,-0.025195,0.527871,-0.097926,-0.13857,-0.012579,-0.018032,1.086599,2.690648,-0.081295,-0.002741,-0.225367,0.416667,0.291667,3.625,0.21073,0.190039,0.249715
7529,116.725296,691.97998,0.556346,0.557954,0.75,0.083333,0.070119,49013.0,0.1672,0.224947,0.109852,0.240912,-0.044693,0.413117,10.444496,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.345368,-0.110095,-0.017212,0.0,-0.007301,-0.083613,-0.019139,-0.014428,-0.02359,0.55219,-0.092048,-0.14241,-0.010838,-0.016189,1.159403,2.794104,-0.079635,-0.006463,-0.205293,0.208333,0.5,3.75,0.222486,0.154501,0.217869
7530,128.666367,767.280029,0.618066,0.634529,0.458333,0.0,0.07038,48909.0,0.184977,0.259149,0.11556,0.256634,-0.046954,0.438423,10.593781,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.387912,-0.120001,-0.018594,0.0,-0.004933,-0.09551,-0.021317,-0.015672,-0.027514,0.594419,-0.099539,-0.148748,-0.01252,-0.018725,1.299887,3.090605,-0.084411,-0.00559,-0.283145,0.125,0.208333,3.541667,0.214241,0.134335,0.202316
7531,125.904228,759.369995,0.592529,0.608142,0.458333,0.125,0.070677,39374.0,0.180234,0.238852,0.119519,0.264882,-0.048974,0.447939,10.499331,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.378824,-0.120631,-0.021164,0.0,-0.006828,-0.098478,-0.021086,-0.015668,-0.027531,0.587001,-0.099339,-0.143575,-0.013198,-0.020423,1.274042,3.042876,-0.088033,-0.003926,-0.252518,0.291667,0.333333,3.875,0.238319,0.149714,0.22065
7532,126.047577,763.119995,0.586922,0.597767,0.391304,0.0,0.070934,38202.0,0.186231,0.242986,0.120265,0.265402,-0.049558,0.439359,10.544646,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.371747,-0.120248,-0.018442,0.0,-0.006859,-0.094664,-0.020779,-0.01542,-0.026145,0.587286,-0.101293,-0.159743,-0.012784,-0.017982,1.22861,2.973455,-0.086967,-0.003845,-0.26357,0.304348,0.478261,3.347826,0.241337,0.166956,0.233628
7533,136.102463,804.179993,0.651239,0.651933,0.565217,0.0,0.07098,40300.0,0.183351,0.247263,0.117238,0.250032,-0.044488,0.439245,10.634926,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.398547,-0.122999,-0.013606,0.0,-0.005718,-0.085691,-0.019924,-0.013314,-0.024584,0.635686,-0.07864,-0.125762,-0.010386,-0.018612,1.358428,3.267205,-0.07899,-0.002609,-0.36567,0.173913,0.217391,4.130435,0.211692,0.152718,0.23378
7534,137.645233,835.390015,0.671366,0.670255,0.458333,0.083333,0.071243,39467.0,0.19422,0.281294,0.133566,0.295122,-0.053165,0.503763,10.60058,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.418896,-0.132016,-0.019214,0.0,-0.005349,-0.108261,-0.022758,-0.017004,-0.029855,0.658424,-0.109968,-0.165348,-0.013892,-0.021725,1.428888,3.32538,-0.09359,-0.004051,-0.356664,0.208333,0.416667,4.083333,0.276613,0.145628,0.213308
7535,141.383087,831.609985,0.668053,0.656232,0.541667,0.208333,0.071541,37932.0,0.172995,0.252478,0.120871,0.267391,-0.049753,0.477215,10.50185,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.408507,-0.131184,-0.015561,0.0,-0.00812,-0.098164,-0.021399,-0.015119,-0.027412,0.649073,-0.099595,-0.153539,-0.012214,-0.019784,1.405411,3.319779,-0.085832,-0.042129,-0.315705,0.291667,0.333333,3.583333,0.237239,0.160025,0.242865
7536,143.783813,873.47998,0.695062,0.688379,0.625,0.0,0.072085,37293.0,0.196183,0.295841,0.129077,0.279471,-0.050822,0.478248,10.523685,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.427775,-0.134222,-0.017746,0.0,-0.007085,-0.099326,-0.023077,-0.015569,-0.028181,0.685774,-0.106711,-0.171721,-0.013783,-0.020752,1.461785,3.424909,-0.091154,-0.004698,-0.460316,0.333333,0.375,3.333333,0.262992,0.155028,0.201779
7537,142.570908,873.75,0.683521,0.705334,0.375,0.083333,0.072403,37870.0,0.233127,0.278272,0.129095,0.275959,-0.050894,0.472911,10.467992,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.433919,-0.128777,-0.026782,0.0,-0.004619,-0.100802,-0.023003,-0.015548,-0.029026,0.673244,-0.101631,-0.160059,-0.014251,-0.021711,1.409056,3.498206,-0.089938,-0.047181,-0.446692,0.208333,0.416667,3.708333,0.246514,0.154536,0.184335
