iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
31,13.692348,719.719971,0.468537,0.554542,0.217391,0.0,0.567312,66040.0,0.329992,1.154456,0.0644,0.251866,-0.065972,0.165837,6.331783,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.368521,-0.003193,-0.008722,-0.001714,-0.164688,-1.173513,-0.10669,-0.019413,0.522791,-0.163564,-0.058548,-0.119721,-0.076337,0.60184,0.340446,-0.416028,-0.066206,-0.19924,0.0,3.304348,0.034724,0.141456,0.141632
32,13.726437,746.109985,0.478922,0.578116,0.391304,0.0,0.561835,67217.0,0.359613,1.182624,0.071914,0.284559,-0.075959,0.171557,6.349531,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.379713,-0.003194,-0.007207,-0.004277,-0.191083,-1.180782,-0.109268,-0.019962,0.57566,-0.167376,-0.063169,-0.128153,-0.089092,0.548198,0.349165,-0.419462,-0.044349,-0.253042,0.0,2.304348,0.036356,0.113079,0.167266
33,16.517548,755.640015,0.509385,0.601517,0.291667,0.0,0.555316,65307.0,0.355621,1.230376,0.07155,0.268908,-0.069202,0.176951,6.355826,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.382403,-0.003244,-0.007052,-0.003433,-0.171326,-1.179375,-0.110983,-0.020146,0.541036,-0.172394,-0.063789,-0.127781,-0.078483,0.588608,0.340568,-0.419154,-0.033303,-0.153381,0.0,2.5,0.027405,0.124072,0.158074
34,18.324591,756.48999,0.492948,0.591797,0.478261,0.0,0.550622,64312.0,0.335068,1.207343,0.069703,0.278456,-0.075318,0.19689,6.363983,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.381627,-0.003303,-0.007665,-0.006116,-0.19169,-1.148379,-0.109578,-0.02008,0.574361,-0.167996,-0.063201,-0.126977,-0.087518,0.653245,0.35068,-0.409512,-0.034629,-0.232752,0.0,2.304348,0.028962,0.13006,0.206197
35,19.620417,824.130005,0.564056,0.656917,0.181818,0.0,0.544932,67546.0,0.383806,1.361564,0.090264,0.288453,-0.085346,0.199768,6.374174,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.424478,-0.00358,-0.008842,-0.001394,-0.199854,-1.279649,-0.125568,-0.021915,0.639466,-0.189706,-0.074254,-0.14285,-0.092375,0.715627,0.383495,-0.455398,-0.049581,-0.261843,0.0,2.681818,0.02705,0.153783,0.147442
36,19.317631,849.030029,0.556173,0.646298,0.227273,0.0,0.538982,67354.0,0.395534,1.310616,0.085651,0.301091,-0.08046,0.199797,6.380966,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.423475,-0.003523,-0.007246,-0.004545,-0.194575,-1.24236,-0.117071,-0.021353,0.624589,-0.179959,-0.069384,-0.133816,-0.089484,0.676266,0.410427,-0.443054,-0.046989,-0.321821,0.045455,2.363636,0.028471,0.191122,0.140162
37,22.631161,858.049988,0.569363,0.660414,0.272727,0.0,0.533127,67715.0,0.376227,1.328322,0.089665,0.307213,-0.082151,0.234436,6.355043,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.436535,-0.003615,-0.009279,-0.002485,-0.201401,-1.269849,-0.119592,-0.022098,0.649077,-0.183675,-0.071338,-0.135139,-0.092405,0.765335,0.43837,-0.453423,-0.045969,-0.251196,0.0,2.772727,0.036605,0.126325,0.169447
38,21.815189,832.919983,0.55921,0.644378,0.636364,0.0,0.526221,68083.0,0.40205,1.284897,0.088745,0.329035,-0.082865,0.207212,6.371037,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.413204,-0.00342,-0.008413,-0.006628,-0.209999,-1.174606,-0.11271,-0.020787,0.644341,-0.16857,-0.067552,-0.128905,-0.098455,0.564624,0.411796,-0.420412,-0.062861,-0.277352,0.090909,2.636364,0.026537,0.152044,0.213201
39,24.151241,868.919983,0.620817,0.688918,0.5,0.0,0.519699,65694.0,0.426181,1.405425,0.108273,0.350588,-0.094218,0.245135,6.37843,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.451075,-0.003673,-0.00943,-0.005749,-0.212144,-1.273108,-0.128501,-0.02269,0.699338,-0.196273,-0.07779,-0.142796,-0.098083,0.688228,0.430874,-0.455317,-0.073362,-0.277655,0.045455,2.863636,0.031407,0.167912,0.214239
40,25.29557,921.400024,0.56827,0.70004,0.521739,0.0,0.51377,67132.0,0.410412,1.374086,0.089773,0.328981,-0.084839,0.226831,6.381896,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.461867,-0.003925,-0.011107,-0.005275,-0.203935,-1.275235,-0.128603,-0.023068,0.668976,-0.187676,-0.075928,-0.14333,-0.096429,0.773627,0.480362,-0.45767,-0.043413,-0.388584,0.217391,2.652174,0.031948,0.17482,0.175397
