iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
1530,85.117538,505.380005,0.441465,0.39409,3.041667,0.083333,0.060017,55323.0,0.102862,0.174182,0.069329,0.139106,-0.021625,0.291929,8.716405,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.266616,-0.080467,-0.018576,-0.025029,-0.055166,-0.010219,-0.006938,-0.015269,0.440895,-0.07878,-0.09478,-0.008535,-0.014919,0.832278,2.207684,-0.035798,-0.011559,-0.073355,1.916667,0.0,2.75,0.084475,0.460372,0.382039
1531,102.674049,585.02002,0.486317,0.438991,2.791667,0.083333,0.060241,54632.0,0.108785,0.186049,0.083467,0.159235,-0.024128,0.341617,8.711605,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.292699,-0.088166,-0.021504,-0.023844,-0.057619,-0.011239,-0.007011,-0.017086,0.486815,-0.070217,-0.097499,-0.008308,-0.017022,0.922882,2.42983,-0.038484,-0.005004,-0.106451,1.166667,0.0,2.333333,0.089562,0.45234,0.343017
1532,102.783409,601.330017,0.509469,0.462819,2.625,0.041667,0.060624,54928.0,0.104317,0.20616,0.080698,0.153345,-0.024188,0.320099,8.577055,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.304511,-0.093519,-0.023535,-0.022696,-0.058386,-0.011363,-0.007327,-0.017191,0.502614,-0.077298,-0.098375,-0.008926,-0.017075,0.993941,2.51767,-0.040092,-0.002651,-0.091853,1.083333,0.0,2.5,0.087895,0.417955,0.375546
1533,118.803955,679.669983,0.568683,0.51474,2.333333,0.0,0.060914,54231.0,0.117357,0.226926,0.085129,0.154614,-0.024367,0.3343,8.552909,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.33548,-0.099935,-0.028784,-0.0207,-0.059869,-0.012269,-0.007182,-0.017555,0.550966,-0.070165,-0.112364,-0.008872,-0.018128,1.08145,2.77324,-0.039628,-0.002958,-0.093467,0.833333,0.0,2.666667,0.076534,0.389426,0.335496
1534,107.269905,628.140015,0.50545,0.447149,2.833333,0.041667,0.061197,55009.0,0.108742,0.202508,0.08162,0.159341,-0.024238,0.332511,8.925792,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.293898,-0.091329,-0.016878,-0.024958,-0.060282,-0.011701,-0.007682,-0.017333,0.492884,-0.076116,-0.106878,-0.009375,-0.016544,0.935247,2.412688,-0.040498,-0.002214,-0.086637,1.333333,0.0,2.333333,0.082275,0.441634,0.39427
1535,116.895592,690.130005,0.566434,0.507943,2.125,0.166667,0.061446,55455.0,0.123985,0.225851,0.089431,0.165847,-0.025288,0.347998,8.508542,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.339934,-0.094367,-0.037488,-0.021103,-0.064422,-0.01289,-0.008434,-0.018704,0.549933,-0.079642,-0.107909,-0.009579,-0.018477,1.07796,2.809733,-0.043173,-0.004652,-0.120558,1.125,0.0,2.208333,0.095772,0.413108,0.339034
1536,118.602898,686.460022,0.570352,0.507769,1.916667,0.0,0.06164,53757.0,0.115059,0.220284,0.089479,0.166447,-0.026066,0.353882,8.446943,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.33744,-0.098983,-0.028485,-0.021066,-0.061753,-0.012682,-0.008071,-0.018332,0.556387,-0.07703,-0.112993,-0.00949,-0.017313,1.0983,2.807655,-0.043518,-0.005642,-0.101767,1.291667,0.0,2.458333,0.083665,0.407577,0.354201
1537,101.106636,585.130005,0.528826,0.481423,3.5,0.125,0.061951,53424.0,0.105397,0.203848,0.079716,0.157811,-0.023775,0.353143,8.999662,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.315262,-0.096234,-0.015404,-0.027617,-0.058324,-0.01176,-0.007135,-0.017137,0.52249,-0.078948,-0.094086,-0.008423,-0.017103,1.032745,2.622167,-0.039832,-0.002608,-0.088307,1.583333,0.0,1.791667,0.089407,0.520569,0.376992
1538,123.305161,730.109985,0.548576,0.489624,2.583333,0.125,0.06219,53929.0,0.117235,0.230255,0.078284,0.147534,-0.025242,0.315666,8.743785,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.330546,-0.106954,-0.034082,-0.020478,-0.065806,-0.012472,-0.007909,-0.018568,0.543702,-0.076452,-0.103585,-0.010448,-0.018283,1.055149,2.733666,-0.04245,-0.005093,-0.097207,1.375,0.0,3.166667,0.086242,0.401453,0.364964
1539,118.52681,687.900024,0.535051,0.476945,2.666667,0.041667,0.062506,54794.0,0.108318,0.20268,0.076349,0.146307,-0.022839,0.319657,8.327063,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.315059,-0.097764,-0.030587,-0.025246,-0.056011,-0.011815,-0.006939,-0.016708,0.513561,-0.074837,-0.098572,-0.008554,-0.016135,1.022836,2.628431,-0.03869,-0.002326,-0.10913,1.291667,0.0,2.083333,0.094252,0.450779,0.398102
