iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7029,131.290085,756.630005,0.5426,0.622671,0.0,0.0,0.088757,81712.0,0.126795,0.258511,0.153438,0.277857,-0.049456,0.506794,7.720808,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.378254,-0.118563,-0.010172,0.0,-0.078242,-0.037228,-0.01397,-0.027245,0.593147,-0.070097,-0.129659,-0.008532,-0.023702,1.386389,2.934286,-0.106499,-0.00059,-0.147098,0.0,4.208333,0.025025,0.083329,0.124728
7030,133.835556,778.640015,0.574463,0.65023,0.0,0.0,0.0884,82974.0,0.12462,0.25964,0.15827,0.275937,-0.049739,0.508438,7.673213,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.390265,-0.122275,-0.009877,0.0,-0.075359,-0.037156,-0.013383,-0.026091,0.61332,-0.068475,-0.125693,-0.00834,-0.022217,1.442943,3.063266,-0.104739,-0.0008,-0.319351,0.0,3.869565,0.027389,0.0914,0.134372
7031,139.425201,804.880005,0.610741,0.670525,0.0,0.0,0.088113,80719.0,0.12368,0.270313,0.164678,0.280018,-0.050997,0.532696,7.731019,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.402254,-0.124493,-0.00925,0.0,-0.084152,-0.038069,-0.013975,-0.02785,0.640289,-0.072826,-0.14206,-0.009803,-0.026727,1.496774,3.142436,-0.106598,-0.000864,-0.229265,0.0,4.083333,0.022873,0.090996,0.134535
7032,145.089325,828.429993,0.63408,0.718506,0.0,0.0,0.087671,88103.0,0.132387,0.269725,0.153964,0.272803,-0.04751,0.514169,7.685375,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.414505,-0.13201,-0.008522,0.0,-0.075307,-0.037964,-0.012826,-0.026979,0.647764,-0.07041,-0.133062,-0.008587,-0.023002,1.52764,3.278199,-0.104844,-0.000691,-0.220149,0.0,4.45,0.024712,0.094612,0.125043
7033,149.382477,854.460022,0.656957,0.724374,0.0,0.0,0.087326,80454.0,0.141759,0.285803,0.174875,0.296731,-0.052132,0.558053,7.669228,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.426255,-0.130222,-0.008888,0.0,-0.081114,-0.039432,-0.013522,-0.027442,0.677392,-0.075689,-0.139456,-0.009245,-0.026491,1.562494,3.334094,-0.107513,-0.000715,-0.188317,0.0,4.416667,0.018442,0.090025,0.133057
7034,153.896866,877.340027,0.655036,0.731726,0.0,0.0,0.086957,81360.0,0.136664,0.288741,0.171495,0.296369,-0.051228,0.566505,7.693746,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.438255,-0.133698,-0.009389,0.0,-0.082729,-0.040229,-0.014181,-0.028469,0.691664,-0.077126,-0.144903,-0.009951,-0.025841,1.628125,3.43878,-0.110167,-0.000729,-0.230751,0.0,4.541667,0.022762,0.086143,0.13579
7035,154.443039,901.960022,0.662852,0.771528,0.0,0.0,0.086675,84079.0,0.147478,0.295818,0.186448,0.31771,-0.054387,0.59374,7.666585,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.450332,-0.134571,-0.00962,0.0,-0.085308,-0.041293,-0.014766,-0.028699,0.715606,-0.077938,-0.150661,-0.009502,-0.026827,1.661261,3.546492,-0.113065,-0.000966,-0.418788,0.0,4.695652,0.025183,0.085339,0.131106
7036,158.292953,925.559998,0.669331,0.768141,0.0,0.0,0.086319,80914.0,0.15672,0.315331,0.191943,0.336234,-0.060598,0.603359,7.672742,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.462256,-0.142496,-0.010202,0.0,-0.098425,-0.043273,-0.016831,-0.032228,0.731487,-0.084261,-0.157009,-0.011287,-0.031038,1.688596,3.595327,-0.123528,-0.000852,-0.348695,0.0,4.25,0.025449,0.080446,0.131745
7037,163.445969,948.869995,0.715585,0.808794,0.0,0.0,0.085997,80303.0,0.151008,0.314588,0.18236,0.314137,-0.058511,0.59529,7.637604,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.474256,-0.152851,-0.010825,0.0,-0.092103,-0.043173,-0.015924,-0.032317,0.749329,-0.081054,-0.147973,-0.010854,-0.02787,1.757096,3.742671,-0.120844,-0.000824,-0.37103,0.0,4.583333,0.024769,0.082678,0.13557
7038,168.48851,974.210022,0.71457,0.804763,0.0,0.0,0.08572,80937.0,0.154449,0.324378,0.187902,0.332801,-0.060063,0.608304,7.632621,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.484006,-0.15157,-0.011544,-0.000278,-0.094719,-0.044194,-0.016378,-0.032855,0.750531,-0.084505,-0.159313,-0.011089,-0.029114,1.786686,3.801738,-0.125106,-0.000872,-0.309006,0.041667,4.583333,0.022892,0.078613,0.127569
