iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
39,24.83968,893.780029,0.644367,0.713156,0.181818,0.0,0.528751,66843.0,0.443981,1.41312,0.090181,0.367404,-0.059983,0.243537,6.38543,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.457956,-0.003861,-0.007069,-0.004394,-0.213076,-1.293262,-0.127177,-0.022342,0.683727,-0.197104,-0.074565,-0.157135,-0.095539,0.628383,0.445533,-0.462909,-0.034974,-0.273099,0.136364,2.0,0.025906,0.171228,0.16877
40,27.06089,858.039978,0.599925,0.654074,0.826087,0.0,0.523998,66361.0,0.399201,1.31515,0.085095,0.340178,-0.056228,0.238253,6.384589,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.423444,-0.003539,-0.00734,-0.009872,-0.198757,-1.162359,-0.118798,-0.020731,0.640028,-0.173796,-0.067852,-0.141055,-0.092297,0.64063,0.412653,-0.417222,-0.029722,-0.176576,0.130435,2.652174,0.029911,0.171253,0.253331
41,29.961603,971.280029,0.629077,0.685273,0.363636,0.0,0.518989,67989.0,0.423607,1.404002,0.092669,0.36168,-0.058876,0.259378,6.373617,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.454574,-0.003809,-0.008111,-0.005715,-0.202568,-1.258389,-0.123853,-0.021609,0.67485,-0.192583,-0.073521,-0.145032,-0.094264,0.692171,0.447142,-0.451197,-0.040505,-0.24174,0.272727,19.363636,0.03143,0.200085,0.167251
42,31.479456,962.719971,0.673685,0.749561,0.272727,0.0,0.513178,66776.0,0.457193,1.46792,0.097486,0.386483,-0.063051,0.274353,6.361042,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.487578,-0.004073,-0.00891,-0.002012,-0.220446,-1.30716,-0.132542,-0.023746,0.725386,-0.200638,-0.078127,-0.158818,-0.103267,0.730498,0.493662,-0.470191,-0.045823,-0.25718,0.045455,4.590909,0.024304,0.153313,0.136869
43,32.123592,915.0,0.663332,0.744182,0.75,0.0,0.507254,63733.0,0.432107,1.433131,0.095548,0.375607,-0.060504,0.278615,6.372533,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.475636,-0.003912,-0.008725,-0.003733,-0.219986,-1.200872,-0.126414,-0.023067,0.717329,-0.188338,-0.076468,-0.153467,-0.102727,0.752219,0.496376,-0.434733,-0.03838,-0.275279,0.166667,8.708334,0.026395,0.151459,0.155294
44,34.39312,963.929993,0.661655,0.742932,0.625,0.0,0.502383,64803.0,0.441788,1.411116,0.094272,0.380016,-0.059675,0.264529,6.355348,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.478431,-0.003975,-0.009495,-0.002636,-0.221001,-1.159981,-0.123782,-0.022768,0.718739,-0.182149,-0.074143,-0.150117,-0.103697,0.714542,0.529182,-0.421609,-0.048432,-0.279473,0.0,8.583334,0.027356,0.141863,0.148445
45,38.897293,964.440002,0.693627,0.749322,0.583333,0.0,0.497609,63070.0,0.432168,1.40415,0.096343,0.374935,-0.059848,0.283528,6.367805,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.477442,-0.00387,-0.009426,-0.003133,-0.218618,-1.107614,-0.121519,-0.022708,0.727104,-0.179895,-0.075883,-0.149701,-0.101833,0.750188,0.525445,-0.404721,-0.040185,-0.274132,0.083333,8.708334,0.027826,0.139494,0.159335
46,43.222038,979.210022,0.692592,0.762988,0.458333,0.0,0.493696,61564.0,0.444973,1.427102,0.097276,0.385796,-0.059867,0.283004,6.372537,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.485515,-0.003972,-0.010718,-0.002231,-0.224487,-1.081885,-0.120083,-0.022701,0.73962,-0.176319,-0.076158,-0.146548,-0.105545,0.747686,0.552867,-0.396588,-0.042494,-0.227122,0.125,8.083334,0.027369,0.157576,0.127762
47,42.857502,950.960022,0.682682,0.753444,0.291667,0.0,0.489305,55860.0,0.428525,1.387075,0.093678,0.381996,-0.059428,0.28919,6.356443,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.480619,-0.003904,-0.010205,-0.001942,-0.229092,-1.033227,-0.116813,-0.022375,0.740324,-0.169965,-0.073791,-0.144695,-0.106567,0.76397,0.563242,-0.380475,-0.035532,-0.226723,0.125,7.041667,0.030169,0.167128,0.1188
48,45.865711,970.679993,0.681045,0.735678,0.708333,0.0,0.484654,61035.0,0.422465,1.335432,0.095094,0.357932,-0.056336,0.271416,6.340776,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.470597,-0.00376,-0.010761,-0.00342,-0.206861,-0.973166,-0.112798,-0.0216,0.707771,-0.162989,-0.073607,-0.137421,-0.097567,0.737973,0.567647,-0.359192,-0.024908,-0.231426,0.083333,6.833333,0.025946,0.176202,0.143977
49,46.356892,946.049988,0.698733,0.750697,0.416667,0.041667,0.479856,61395.0,0.419116,1.339302,0.097868,0.358794,-0.056771,0.278294,6.342346,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.473847,-0.003744,-0.009515,-0.003159,-0.206865,-0.94542,-0.111404,-0.021626,0.715724,-0.160556,-0.073263,-0.135578,-0.097964,0.780812,0.577121,-0.350795,-0.026652,-0.206165,0.083333,7.125,0.025703,0.171015,0.155815
50,48.362034,965.150024,0.717842,0.780479,0.333333,0.0,0.475088,59701.0,0.43282,1.365961,0.102326,0.380175,-0.060968,0.308793,6.344943,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.488327,-0.003789,-0.010008,-0.001885,-0.212584,-0.950903,-0.114825,-0.022069,0.746759,-0.166347,-0.079045,-0.14206,-0.099776,0.823435,0.594359,-0.35348,-0.026894,-0.269115,0.041667,6.583333,0.025155,0.152847,0.126245
