iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error
128,77.366814,1000.0,0.925022,0.944505,0.0,0.0,0.597375,79912.0,0.318892
129,77.828735,1000.0,0.924708,0.944901,0.0,0.0,0.5959,73382.0,0.320566
130,76.515251,1000.0,0.925108,0.94471,0.0,0.0,0.594736,74943.0,0.319056
131,79.32692,1000.0,0.925303,0.946457,0.0,0.0,0.593406,83150.0,0.318647
132,76.810547,1000.0,0.924793,0.945959,0.0,0.0,0.592384,82421.0,0.318431
133,77.060364,1000.0,0.923728,0.944803,0.0,0.0,0.59075,81679.0,0.317016
134,78.543663,1000.0,0.925104,0.944474,0.041667,0.0,0.589175,69648.0,0.317314
135,78.013756,1000.0,0.926144,0.946601,0.0,0.0,0.587712,70182.0,0.314499
136,78.927933,992.469971,0.922394,0.943369,0.041667,0.0,0.585717,78138.0,0.316671
137,79.343468,1000.0,0.926102,0.945887,0.0,0.0,0.584706,87336.0,0.315414
138,77.044853,1000.0,0.924796,0.943206,0.041667,0.0,0.583143,87470.0,0.311148
139,77.39537,1000.0,0.926694,0.946754,0.0,0.0,0.581497,80704.0,0.311804
140,77.493195,1000.0,0.925462,0.945374,0.0,0.0,0.580245,81187.0,0.313591
141,79.090034,1000.0,0.925434,0.946353,0.0,0.0,0.57873,79441.0,0.313786
142,80.766502,1000.0,0.923738,0.944281,0.0,0.0,0.577576,81323.0,0.314718
143,78.817139,994.25,0.920336,0.941434,0.041667,0.0,0.576317,87631.0,0.311534
144,76.939537,1000.0,0.926672,0.94565,0.0,0.0,0.574521,80752.0,0.310602
145,79.63208,1000.0,0.924356,0.945449,0.0,0.0,0.573161,87066.0,0.312851
146,79.653679,1000.0,0.923141,0.94536,0.0,0.0,0.571486,87328.0,0.314502
147,80.419823,1000.0,0.92831,0.947203,0.0,0.0,0.569964,93276.0,0.305057
148,80.820763,1000.0,0.925055,0.94506,0.0,0.0,0.568796,90456.0,0.313012
149,78.526558,984.200012,0.914771,0.933646,0.090909,0.0,0.566759,86213.0,0.303573
150,77.621132,1000.0,0.926197,0.947204,0.0,0.0,0.565378,69908.0,0.310045
151,80.334221,988.130005,0.896754,0.916484,0.125,0.0,0.563404,86187.0,0.298813
152,81.497299,1000.0,0.923968,0.946075,0.0,0.0,0.562422,87625.0,0.309614
153,80.346725,993.059998,0.916548,0.934781,0.043478,0.0,0.561287,84105.0,0.304139
154,82.303566,985.849976,0.917205,0.937229,0.086957,0.0,0.560471,83370.0,0.307359
155,79.96254,998.030029,0.932189,0.948498,0.0,0.0,0.559697,46742.0,0.299751
156,76.874718,980.890015,0.905785,0.924183,0.130435,0.0,0.557094,16819.0,0.300211
157,78.695152,992.090027,0.923643,0.942837,0.045455,0.0,0.556653,85696.0,0.304655
158,81.035355,994.059998,0.925485,0.943491,0.083333,0.0,0.555729,82906.0,0.300824
159,79.876297,982.330017,0.907615,0.924852,0.190476,0.0,0.553966,88321.0,0.295464
160,77.749016,989.200012,0.926277,0.945179,0.0,0.0,0.55104,78663.0,0.31034
161,78.555763,1000.0,0.927306,0.947122,0.0,0.0,0.550732,100029.0,0.304277
162,82.372772,1000.0,0.927607,0.947586,0.0,0.0,0.549734,86510.0,0.300917
163,81.062637,1000.0,0.928018,0.944892,0.0,0.0,0.548903,97307.0,0.306427
164,80.122307,1000.0,0.925107,0.944023,0.0,0.0,0.54783,95261.0,0.302524
165,80.074875,996.48999,0.925537,0.941803,0.043478,0.0,0.547143,94994.0,0.298577
166,79.777245,999.530029,0.923682,0.94422,0.041667,0.0,0.546545,94104.0,0.302415
167,81.910431,1000.0,0.921921,0.943842,0.041667,0.0,0.5457,94228.0,0.306872
168,82.496979,1000.0,0.927498,0.945316,0.041667,0.0,0.545312,84388.0,0.299544
169,85.120308,1000.0,0.928641,0.945521,0.041667,0.0,0.545097,93184.0,0.297882
170,82.915405,1000.0,0.927615,0.945979,0.0,0.0,0.544351,92885.0,0.300366
171,80.237457,990.429993,0.922629,0.94057,0.083333,0.0,0.54364,92733.0,0.297408
172,83.007133,1000.0,0.925565,0.945123,0.041667,0.0,0.542571,93991.0,0.29824
173,82.966995,1000.0,0.926503,0.945678,0.0,0.0,0.541541,94204.0,0.299157
174,82.604843,1000.0,0.927132,0.94674,0.0,0.0,0.540354,86311.0,0.297891
175,82.439384,1000.0,0.925907,0.944012,0.041667,0.0,0.53956,84163.0,0.298228
176,81.967117,1000.0,0.924398,0.94097,0.041667,0.0,0.538459,83239.0,0.295047
177,86.627068,1000.0,0.927689,0.945962,0.041667,0.0,0.537506,83702.0,0.297258
178,82.591644,1000.0,0.927116,0.946431,0.0,0.0,0.536253,83990.0,0.299214
179,82.911438,987.27002,0.92485,0.941192,0.083333,0.0,0.534911,76435.0,0.293981
180,84.028488,992.469971,0.923312,0.94243,0.041667,0.0,0.533667,80775.0,0.298529
181,84.580627,1000.0,0.92565,0.945294,0.083333,0.0,0.532643,83416.0,0.296906
182,82.710091,999.150024,0.925314,0.944654,0.041667,0.0,0.531595,85107.0,0.295441
183,83.512985,1000.0,0.926189,0.944564,0.0,0.0,0.529856,85022.0,0.29598
184,86.083565,1000.0,0.926782,0.945619,0.0,0.0,0.528547,85095.0,0.294596
185,84.780579,1000.0,0.928479,0.946878,0.0,0.0,0.527744,70674.0,0.292512
186,83.172226,1000.0,0.930369,0.946397,0.0,0.0,0.526612,91819.0,0.291719
187,86.98542,1000.0,0.924382,0.945572,0.0,0.0,0.525503,91678.0,0.297667
188,86.896744,1000.0,0.927982,0.945359,0.0,0.0,0.524345,90714.0,0.290882
189,84.153587,1000.0,0.927958,0.945918,0.0,0.0,0.523318,91871.0,0.292312
190,84.416702,1000.0,0.931252,0.946445,0.0,0.0,0.5222,81654.0,0.290757
191,85.1465,1000.0,0.926567,0.946409,0.0,0.0,0.520514,90096.0,0.29292
192,85.7379,1000.0,0.927017,0.94317,0.0,0.0,0.51942,86977.0,0.290389
193,84.695839,1000.0,0.927933,0.946593,0.0,0.0,0.518214,87073.0,0.293935
194,86.836723,1000.0,0.928764,0.946682,0.0,0.0,0.517477,90327.0,0.289497
195,87.100159,1000.0,0.931533,0.945035,0.0,0.0,0.516707,93822.0,0.287631
196,83.994736,992.869995,0.915322,0.931076,0.043478,0.0,0.516042,81878.0,0.280665
197,83.902489,1000.0,0.931227,0.943239,0.0,0.0,0.515166,97804.0,0.283917
198,84.299034,997.919983,0.926674,0.943699,0.043478,0.0,0.514298,93279.0,0.290736
199,85.636391,997.919983,0.931152,0.945398,0.0,0.0,0.513952,93629.0,0.285371
200,86.527977,1000.0,0.930417,0.945393,0.0,0.0,0.51338,81144.0,0.288296
201,85.835167,997.059998,0.925372,0.944383,0.047619,0.0,0.512408,86403.0,0.290192
202,86.977371,991.77002,0.913706,0.93041,0.086957,0.0,0.511226,5736.0,0.282258
203,87.73558,994.52002,0.927399,0.94489,0.0,0.0,0.510473,83971.0,0.288861
204,85.279671,998.299988,0.927589,0.942693,0.041667,0.0,0.50962,80658.0,0.288312
205,86.01754,1000.0,0.93031,0.944468,0.0,0.0,0.508893,77692.0,0.284907
206,87.497063,997.049988,0.923762,0.940941,0.043478,0.0,0.508236,83356.0,0.285935
207,87.39595,993.77002,0.916203,0.933151,0.0,0.041667,0.507044,81705.0,0.280786
208,88.499947,999.039978,0.927987,0.945314,0.041667,0.0,0.506624,82041.0,0.286514
209,89.802696,1000.0,0.92917,0.945605,0.0,0.0,0.506087,80940.0,0.285113
210,87.14415,1000.0,0.927546,0.944239,0.041667,0.0,0.505664,69190.0,0.285863
211,85.022087,1000.0,0.926912,0.943792,0.083333,0.0,0.505409,91919.0,0.283284
212,89.97496,1000.0,0.930008,0.945008,0.0,0.0,0.505143,91890.0,0.283509
213,86.307762,998.440002,0.926246,0.941425,0.125,0.0,0.504022,91951.0,0.280099
214,86.055138,991.150024,0.927536,0.943904,0.041667,0.0,0.50294,91564.0,0.285888
215,84.553619,1000.0,0.926976,0.943924,0.0,0.0,0.502261,90402.0,0.285843
216,88.628227,1000.0,0.930217,0.945831,0.041667,0.0,0.499925,80612.0,0.281981
217,86.853996,1000.0,0.929316,0.94519,0.041667,0.0,0.498984,91825.0,0.28313
218,87.385468,995.27002,0.92219,0.937801,0.166667,0.0,0.498253,91390.0,0.28285
219,86.801331,991.349976,0.920148,0.936165,0.041667,0.0,0.497142,91878.0,0.281452
220,86.355728,1000.0,0.929574,0.945859,0.0,0.0,0.495889,91336.0,0.282882
221,88.369499,993.340027,0.929843,0.944477,0.041667,0.0,0.495501,90785.0,0.278224
222,87.496964,1000.0,0.927699,0.944463,0.041667,0.0,0.494935,81166.0,0.282912
223,90.68174,1000.0,0.927653,0.942861,0.041667,0.0,0.494662,91678.0,0.278234
224,91.182785,1000.0,0.928815,0.946419,0.0,0.0,0.493675,90420.0,0.282551
225,88.769615,1000.0,0.929443,0.946631,0.0,0.0,0.49338,81995.0,0.28249
226,88.251671,1000.0,0.930793,0.945352,0.0,0.0,0.492799,81330.0,0.279749
227,88.717781,1000.0,0.930661,0.945406,0.0,0.0,0.491985,81497.0,0.277665
228,89.757149,1000.0,0.931554,0.946522,0.0,0.0,0.490846,72730.0,0.27873
229,87.874062,1000.0,0.929912,0.946289,0.0,0.0,0.490584,81506.0,0.279876
230,88.040474,1000.0,0.932821,0.94707,0.0,0.0,0.490015,82861.0,0.2789
231,87.569176,1000.0,0.922939,0.937163,0.043478,0.0,0.488532,81738.0,0.276295
232,87.69603,994.580017,0.92427,0.940818,0.043478,0.0,0.487732,80003.0,0.277204
233,89.571777,994.51001,0.928811,0.943985,0.045455,0.0,0.486792,79487.0,0.275196
