iteration,reward,episode_length,height_reward,upright_penalty,tipped_over,collapsed,exploration,steps_per_second
182,49.739601,500.0,1.999363,-0.000181,0.0,0.0,0.060604,92230.0
183,49.747337,500.0,1.999377,-0.000175,0.0,0.0,0.059802,92358.0
184,49.752895,500.0,1.999405,-0.000177,0.0,0.0,0.058707,106442.0
185,49.761868,500.0,1.99942,-0.000177,0.0,0.0,0.057516,80389.0
186,49.768021,500.0,1.999429,-0.000177,0.0,0.0,0.056395,65228.0
187,49.774673,500.0,1.99946,-0.000171,0.0,0.0,0.055537,65631.0
188,49.782131,500.0,1.999462,-0.000168,0.0,0.0,0.054561,66891.0
189,49.788368,500.0,1.999487,-0.000165,0.0,0.0,0.053465,70087.0
190,49.793991,500.0,1.999487,-0.000165,0.0,0.0,0.052577,105821.0
191,49.799019,500.0,1.999519,-0.00016,0.0,0.0,0.051577,105815.0
192,49.803947,500.0,1.999517,-0.000163,0.0,0.0,0.050748,102196.0
193,49.808853,500.0,1.999524,-0.00016,0.0,0.0,0.049737,106615.0
194,49.813683,500.0,1.999535,-0.000157,0.0,0.0,0.04865,103186.0
195,49.818348,500.0,1.999547,-0.000153,0.0,0.0,0.047654,94607.0
196,49.822865,500.0,1.999555,-0.000151,0.0,0.0,0.046568,105539.0
197,49.826599,500.0,1.999572,-0.000149,0.0,0.0,0.045787,101459.0
198,49.831722,500.0,1.999583,-0.000144,0.0,0.0,0.045002,104989.0
199,49.836342,500.0,1.999591,-0.000144,0.0,0.0,0.043956,110002.0
200,49.839756,500.0,1.99959,-0.00014,0.0,0.0,0.043125,99611.0
201,49.843704,500.0,1.999604,-0.000136,0.0,0.0,0.042226,100047.0
202,49.847591,500.0,1.999626,-0.000135,0.0,0.0,0.041438,100044.0
203,49.851318,500.0,1.999633,-0.000132,0.0,0.0,0.040739,101443.0
204,49.854263,500.0,1.999644,-0.00013,0.0,0.0,0.040099,98563.0
205,49.856983,500.0,1.999647,-0.000128,0.0,0.0,0.039373,100663.0
206,49.859306,500.0,1.999668,-0.000128,0.0,0.0,0.038518,95326.0
207,49.862755,500.0,1.999682,-0.000121,0.0,0.0,0.03779,97377.0
208,49.865837,500.0,1.999674,-0.000123,0.0,0.0,0.037107,95874.0
209,49.868526,500.0,1.999673,-0.00012,0.0,0.0,0.036489,106071.0
210,49.871517,500.0,1.99969,-0.000119,0.0,0.0,0.035842,84806.0
211,49.873623,500.0,1.999699,-0.000117,0.0,0.0,0.035175,110216.0
212,49.876194,500.0,1.9997,-0.000116,0.0,0.0,0.034432,109852.0
