iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
32,36.740952,724.880005,0.505573,0.52525,1.291667,0.0,0.779093,62611.0,0.359663,1.362478,0.057509,0.333704,-0.055999,0.214371,7.156824,-0.1,-0.001,-0.01,-0.02,-0.2,0.360045,-0.003377,-0.008167,-0.010365,-0.00041,-0.367733,-0.13779,-0.021406,0.51371,-0.075849,-0.033203,-0.168504,-0.085596,0.475317,0.038546,-0.126212,-0.046181,-0.040451,3.666667,0.024983,0.236975,0.251624
33,37.224892,714.929993,0.495606,0.513362,1.695652,0.0,0.774691,65827.0,0.35793,1.361796,0.056576,0.342293,-0.057683,0.225634,7.128753,-0.1,-0.001,-0.01,-0.02,-0.2,0.354449,-0.00334,-0.008085,-0.013598,-0.000425,-0.356783,-0.134691,-0.020959,0.518362,-0.075409,-0.032107,-0.164358,-0.08842,0.438651,0.037213,-0.12274,-0.053027,-0.044891,3.608696,0.029281,0.241968,0.311566
34,40.785854,761.599976,0.483397,0.546453,1.0,0.0,0.770341,63693.0,0.357006,1.380995,0.060557,0.342832,-0.056324,0.239408,7.175872,-0.1,-0.001,-0.01,-0.02,-0.2,0.37424,-0.003517,-0.008581,-0.009746,-0.000418,-0.374163,-0.140607,-0.022024,0.53228,-0.078451,-0.033118,-0.168262,-0.089154,0.54707,0.041749,-0.128665,-0.041889,-0.041086,3.833333,0.026696,0.205061,0.253836
35,41.381699,777.179993,0.546537,0.582519,1.208333,0.0,0.765942,57975.0,0.386191,1.472299,0.063287,0.369445,-0.060064,0.248249,7.202003,-0.1,-0.001,-0.01,-0.02,-0.2,0.393119,-0.003723,-0.008775,-0.008432,-0.000454,-0.391798,-0.147021,-0.022933,0.561369,-0.081385,-0.03443,-0.17599,-0.095784,0.547637,0.043845,-0.134827,-0.049569,-0.045107,4.0,0.024917,0.21502,0.206867
36,41.689434,778.820007,0.575847,0.598274,1.125,0.0,0.761562,68740.0,0.399688,1.542815,0.066388,0.392762,-0.064292,0.261068,7.19663,-0.1,-0.001,-0.01,-0.02,-0.2,0.401991,-0.003795,-0.009228,-0.013361,-0.000481,-0.401414,-0.151368,-0.023437,0.591137,-0.083021,-0.036577,-0.182633,-0.101246,0.514034,0.043217,-0.138169,-0.036776,-0.029627,2.333333,0.026483,0.254418,0.258576
37,46.20435,839.140015,0.576137,0.61961,0.875,0.041667,0.757335,68064.0,0.39458,1.568943,0.064056,0.357567,-0.060973,0.25062,7.249296,-0.1,-0.001,-0.01,-0.02,-0.2,0.41645,-0.003884,-0.008584,-0.007529,-0.000456,-0.409268,-0.155199,-0.024212,0.580631,-0.08586,-0.037825,-0.191576,-0.094716,0.622569,0.044393,-0.141081,-0.037887,-0.036053,3.583333,0.024688,0.19078,0.21882
38,44.604088,835.51001,0.589536,0.609237,1.125,0.0,0.753991,66296.0,0.400182,1.579887,0.068938,0.39415,-0.066816,0.279635,7.256447,-0.1,-0.001,-0.01,-0.02,-0.2,0.413597,-0.003856,-0.009064,-0.009906,-0.000473,-0.404196,-0.157861,-0.024416,0.601832,-0.087223,-0.037827,-0.192714,-0.099262,0.57616,0.043817,-0.139398,-0.069862,-0.058048,3.833333,0.025491,0.214253,0.252156
39,46.221809,851.289978,0.62501,0.63001,1.043478,0.0,0.750195,70332.0,0.406838,1.614963,0.074895,0.404822,-0.069994,0.29482,7.271499,-0.1,-0.001,-0.01,-0.02,-0.2,0.426368,-0.003958,-0.009,-0.009944,-0.000482,-0.412962,-0.163682,-0.024848,0.621578,-0.088656,-0.039249,-0.194549,-0.101227,0.623035,0.045816,-0.142632,-0.083308,-0.078275,3.347826,0.022555,0.197456,0.247226
40,49.456573,908.400024,0.67007,0.697449,0.782609,0.0,0.746739,63783.0,0.442006,1.708204,0.070783,0.43213,-0.072822,0.301226,7.257746,-0.1,-0.001,-0.01,-0.02,-0.2,0.456421,-0.00431,-0.009782,-0.008174,-0.000542,-0.441399,-0.171721,-0.026612,0.653807,-0.09473,-0.040204,-0.213257,-0.113142,0.662048,0.049425,-0.152524,-0.108072,-0.089886,2.826087,0.022629,0.204384,0.21302
41,51.730228,927.419983,0.670398,0.67548,0.75,0.0,0.743431,67448.0,0.424824,1.706731,0.074007,0.415906,-0.070568,0.310113,7.27231,-0.1,-0.001,-0.01,-0.02,-0.2,0.452716,-0.004209,-0.010129,-0.007204,-0.000505,-0.434627,-0.16975,-0.026425,0.645651,-0.091932,-0.040561,-0.209446,-0.106242,0.688264,0.050469,-0.150304,-0.082632,-0.062371,3.541667,0.018749,0.178389,0.206435
