iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7534,154.240479,862.429993,0.692466,0.691481,0.458333,0.0,0.069772,54600.0,0.148492,0.249397,0.135301,0.273992,-0.049593,0.521335,10.289082,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.425627,-0.127792,-0.013825,0.0,-0.004966,-0.104601,-0.019244,-0.013711,-0.026407,0.690599,-0.073123,-0.129546,-0.012066,-0.025612,1.52967,3.587383,-0.076388,-0.001761,-0.228672,0.208333,0.041667,4.583333,0.084601,0.148369,0.195098
7535,156.590012,883.919983,0.726641,0.736435,0.26087,0.043478,0.069855,55326.0,0.165627,0.271605,0.138398,0.269014,-0.045522,0.545731,10.085609,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.446763,-0.135229,-0.015314,0.0,-0.003268,-0.107841,-0.019333,-0.012653,-0.026311,0.735675,-0.078285,-0.132393,-0.010673,-0.028421,1.589921,3.745109,-0.070196,-0.003687,-0.356882,0.043478,0.0,4.0,0.084857,0.140924,0.176725
7536,160.889114,902.890015,0.754467,0.730128,0.25,0.041667,0.070039,54848.0,0.146491,0.263994,0.140229,0.264887,-0.046261,0.528954,10.308659,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.455741,-0.132423,-0.011528,0.0,-0.002578,-0.09405,-0.01969,-0.012046,-0.02507,0.742571,-0.069709,-0.133726,-0.009796,-0.023576,1.677068,3.844835,-0.071196,-0.001187,-0.251956,0.041667,0.0,4.083333,0.062149,0.119302,0.181875
7537,167.045532,942.109985,0.756081,0.790659,0.166667,0.0,0.070209,52663.0,0.174987,0.268989,0.147677,0.288413,-0.050929,0.556113,10.05437,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.471085,-0.13472,-0.015537,0.0,-0.001778,-0.113534,-0.021002,-0.013946,-0.029676,0.767284,-0.069335,-0.13066,-0.010835,-0.031051,1.670699,3.974574,-0.078855,-0.006918,-0.380672,0.041667,0.0,3.958333,0.083506,0.111573,0.156831
7538,176.35907,996.890015,0.768408,0.791252,0.304348,0.0,0.070508,51166.0,0.187236,0.28816,0.153264,0.299234,-0.053322,0.556885,10.403844,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.477231,-0.146543,-0.021614,0.0,-0.003369,-0.114829,-0.021751,-0.015142,-0.028676,0.762554,-0.075686,-0.124473,-0.011422,-0.027544,1.680914,4.012043,-0.084724,-0.002872,-0.295816,0.086957,0.043478,33.086956,0.095658,0.142363,0.178875
7539,158.149994,897.460022,0.685156,0.710654,0.26087,0.130435,0.070741,39157.0,0.153382,0.270227,0.129323,0.259639,-0.045869,0.493998,10.307435,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.433927,-0.133432,-0.015192,0.0,-0.008232,-0.115786,-0.020227,-0.014295,-0.029335,0.698068,-0.083713,-0.137059,-0.010775,-0.028911,1.55907,3.599095,-0.076475,-0.002113,-0.235155,0.26087,0.0,3.869565,0.131903,0.147942,0.235262
7540,155.737457,892.140015,0.713093,0.724509,0.583333,0.041667,0.070976,37223.0,0.16737,0.265533,0.13244,0.264878,-0.045825,0.504182,10.063961,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.44766,-0.135898,-0.012472,0.0,-0.006089,-0.101265,-0.020004,-0.012797,-0.025831,0.728868,-0.085179,-0.132887,-0.011328,-0.026723,1.582224,3.755621,-0.073526,-0.001271,-0.351421,0.291667,0.0,4.083333,0.092418,0.126981,0.21763
7541,166.363846,975.080017,0.787074,0.804975,0.25,0.041667,0.071207,35433.0,0.210227,0.302025,0.153574,0.319223,-0.056883,0.587108,10.172765,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.487379,-0.145266,-0.017606,0.0,-0.00275,-0.139372,-0.023386,-0.016511,-0.033601,0.787418,-0.092246,-0.1589,-0.013738,-0.035023,1.669925,4.024262,-0.090341,-0.002558,-0.446606,0.083333,0.0,4.666667,0.095236,0.126313,0.149214
7542,167.111908,968.780029,0.739061,0.778172,0.291667,0.0,0.071276,35982.0,0.171403,0.279813,0.148636,0.292486,-0.050171,0.577732,10.043184,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.475486,-0.145021,-0.023704,0.0,-0.003451,-0.114027,-0.021271,-0.01336,-0.027983,0.772879,-0.079179,-0.132732,-0.01191,-0.029614,1.698552,3.99294,-0.077741,-0.003404,-0.505419,0.25,0.0,4.416667,0.094845,0.146354,0.160436
7543,170.136734,971.780029,0.766718,0.778554,0.217391,0.0,0.07142,39599.0,0.179538,0.289477,0.161501,0.324402,-0.056724,0.6013,10.033815,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.48454,-0.140548,-0.015601,0.0,-0.002108,-0.131251,-0.023466,-0.016394,-0.033484,0.785236,-0.08276,-0.147281,-0.013273,-0.03226,1.725832,4.027719,-0.091739,-0.007565,-0.328161,0.0,0.0,4.26087,0.108406,0.118045,0.169584
