iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/hips_home,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7528,138.645905,756.630005,0.588658,0.618978,0.0,0.0,0.05853,72417.0,0.140568,0.192384,0.145117,0.288988,-0.052205,0.513659,7.122388,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.378254,-0.112216,-0.013045,0.0,0.0,-0.070762,-0.102431,-0.016291,-0.01453,-0.025263,0.613411,-0.033857,-0.091638,-0.007049,-0.022874,1.326986,3.306609,-0.079744,-0.001446,-0.196448,0.0,4.208333,0.020841,0.089803,0.126623
7529,141.974197,778.640015,0.609119,0.642627,0.0,0.0,0.058506,71610.0,0.129304,0.191936,0.148511,0.292019,-0.052946,0.521893,7.095227,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.390265,-0.116991,-0.013764,0.0,0.0,-0.07054,-0.120649,-0.016421,-0.014577,-0.025665,0.634822,-0.033573,-0.08889,-0.00671,-0.021637,1.408641,3.430001,-0.07975,-0.001653,-0.315926,0.0,3.869565,0.025512,0.09499,0.148056
7530,147.032532,804.72998,0.659917,0.66925,0.0,0.0,0.058663,70355.0,0.136018,0.203345,0.15562,0.288792,-0.051597,0.545152,7.097152,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.402254,-0.116802,-0.010925,0.0,0.0,-0.071455,-0.124205,-0.016399,-0.013823,-0.024704,0.664793,-0.035876,-0.096081,-0.007547,-0.024137,1.449007,3.520591,-0.0765,-0.001592,-0.256687,0.0,4.041667,0.019961,0.091041,0.15912
7531,148.939713,807.059998,0.647667,0.687762,0.095238,0.0,0.058824,76378.0,0.134025,0.193336,0.139798,0.271423,-0.048316,0.498896,7.084579,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.396832,-0.120409,-0.011604,0.0,-0.002622,-0.06695,-0.108202,-0.015904,-0.012971,-0.023566,0.647574,-0.03624,-0.089485,-0.006612,-0.021493,1.421724,3.496587,-0.074218,-0.001255,-0.240763,0.095238,4.238095,0.025336,0.122485,0.158711
7532,157.959839,854.460022,0.6971,0.72147,0.0,0.0,0.058818,81533.0,0.153995,0.214928,0.164675,0.306738,-0.055006,0.572601,7.058665,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.426255,-0.124336,-0.012652,0.0,0.0,-0.073229,-0.109457,-0.017169,-0.014218,-0.025668,0.70067,-0.037131,-0.096081,-0.007464,-0.024061,1.512346,3.735849,-0.078858,-0.001615,-0.18941,0.0,4.416667,0.019915,0.092256,0.133352
7533,163.725159,877.340027,0.702435,0.723512,0.0,0.0,0.058892,78683.0,0.140952,0.214322,0.163271,0.303102,-0.052857,0.575694,7.050414,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.438255,-0.126486,-0.012728,0.0,0.0,-0.072948,-0.106412,-0.017359,-0.014098,-0.025643,0.721477,-0.037429,-0.095659,-0.007382,-0.02475,1.591158,3.854379,-0.079445,-0.001422,-0.228693,0.0,4.541667,0.018691,0.079716,0.148147
7534,164.985733,901.960022,0.719869,0.762933,0.0,0.0,0.058944,82383.0,0.145404,0.219146,0.173895,0.315466,-0.053606,0.599022,7.058712,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.450332,-0.12718,-0.011559,0.0,0.0,-0.073656,-0.112432,-0.017583,-0.014608,-0.026333,0.74671,-0.037328,-0.101878,-0.007307,-0.023875,1.639595,3.973364,-0.079232,-0.001831,-0.473614,0.0,4.695652,0.019223,0.09706,0.153093
7535,167.129333,925.349976,0.724284,0.760842,0.0,0.0,0.058914,73998.0,0.172599,0.233499,0.180647,0.348769,-0.062155,0.616745,7.026376,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.462256,-0.13541,-0.013894,0.0,0.0,-0.087353,-0.149211,-0.019335,-0.017439,-0.03019,0.750201,-0.041938,-0.109935,-0.008662,-0.027695,1.627575,4.036839,-0.09279,-0.001343,-0.366733,0.0,4.208333,0.019305,0.10109,0.149366
7536,173.251709,948.650024,0.756579,0.811791,0.0,0.0,0.05894,78849.0,0.159335,0.238112,0.171581,0.33173,-0.060921,0.605597,7.025495,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.474256,-0.146408,-0.015227,0.0,0.0,-0.084332,-0.143425,-0.019347,-0.017023,-0.030133,0.776424,-0.0394,-0.105534,-0.008018,-0.025778,1.712555,4.176528,-0.092345,-0.001499,-0.371557,0.0,4.541667,0.023019,0.074915,0.104202
7537,178.442902,974.210022,0.768296,0.806988,0.0,0.0,0.058989,82612.0,0.155614,0.243001,0.173101,0.330726,-0.059751,0.600754,7.035933,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.486256,-0.144159,-0.014243,0.0,0.0,-0.0818,-0.101268,-0.019594,-0.01609,-0.029111,0.789904,-0.041993,-0.111263,-0.00841,-0.026424,1.76488,4.269084,-0.089861,-0.001579,-0.335411,0.0,4.583333,0.021031,0.083306,0.123708
7538,179.446014,1000.0,0.798303,0.83514,0.0,0.0,0.059046,81447.0,0.163164,0.247031,0.183437,0.35262,-0.063122,0.655866,7.085419,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.497507,-0.146661,-0.013753,0.0,0.0,-0.08605,-0.122784,-0.020097,-0.017404,-0.031051,0.816162,-0.044007,-0.114082,-0.008534,-0.029047,1.799593,4.361055,-0.093489,-0.001833,-0.403776,0.0,35.0,0.023052,0.08722,0.130795
7539,182.561142,1000.0,0.796028,0.827744,0.0,0.0,0.059114,85530.0,0.173981,0.250543,0.181426,0.361494,-0.066032,0.665463,6.995517,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.500007,-0.153485,-0.015871,0.0,0.0,-0.089304,-0.107101,-0.020534,-0.018044,-0.031909,0.807232,-0.044175,-0.115717,-0.00948,-0.027699,1.786379,4.383615,-0.097426,-0.001559,-0.363243,0.0,3.954545,0.025926,0.077613,0.147672
7540,181.791367,1000.0,0.774629,0.838165,0.0,0.0,0.0593,80417.0,0.17668,0.250449,0.192475,0.366252,-0.064693,0.679289,7.063867,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.500007,-0.14461,-0.01484,0.0,0.0,-0.089748,-0.125987,-0.020186,-0.016543,-0.031756,0.810591,-0.046944,-0.122291,-0.009125,-0.031075,1.780857,4.365215,-0.093846,-0.001664,-0.397746,0.0,4.5,0.020812,0.085386,0.110322
7541,180.334518,1000.0,0.783854,0.839299,0.0,0.0,0.059419,81202.0,0.169559,0.257939,0.181056,0.331885,-0.061104,0.633598,7.053352,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.500007,-0.150816,-0.011958,0.0,0.0,-0.084525,-0.121,-0.019906,-0.01624,-0.029626,0.827219,-0.045224,-0.112515,-0.00931,-0.029163,1.794393,4.367457,-0.089007,-0.001714,-0.506493,0.0,3.666667,0.024001,0.068425,0.130954
7542,183.015244,1000.0,0.801975,0.822462,0.0,0.0,0.059369,81462.0,0.152856,0.244586,0.173399,0.329189,-0.058794,0.620523,7.123788,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.500007,-0.153337,-0.012037,0.0,0.0,-0.080326,-0.09725,-0.019168,-0.01554,-0.029077,0.821388,-0.04209,-0.10698,-0.008573,-0.026355,1.82862,4.416511,-0.086714,-0.001892,-0.323356,0.0,4.666667,0.021768,0.06636,0.130203
7543,182.989426,1000.0,0.802238,0.83273,0.0,0.0,0.05945,80373.0,0.169479,0.242661,0.189098,0.339729,-0.060943,0.63854,7.078876,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.500007,-0.139083,-0.013537,0.0,0.0,-0.084823,-0.090988,-0.019792,-0.016249,-0.030195,0.821658,-0.044836,-0.116804,-0.008936,-0.027534,1.796546,4.389709,-0.089364,-0.001326,-0.307818,0.0,4.25,0.020303,0.078058,0.13136
7544,182.365906,1000.0,0.7964,0.820698,0.0,0.0,0.059473,84939.0,0.170644,0.24335,0.187186,0.372987,-0.066407,0.70285,7.098349,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.500007,-0.156903,-0.015868,0.0,0.0,-0.087894,-0.136516,-0.020218,-0.017309,-0.031294,0.810928,-0.042281,-0.11152,-0.008522,-0.026976,1.792152,4.414003,-0.097308,-0.001962,-0.424915,0.0,3.782609,0.020748,0.095181,0.127422
