iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
97,19.882717,926.0,0.845232,0.874989,0.318182,0.0,0.837217,51669.0,0.324721,1.635129,0.108777,0.482183,-0.117919,0.466868,8.480441
98,8.352133,949.929993,0.866772,0.895042,0.26087,0.0,0.837375,50230.0,0.343517,1.696871,0.116934,0.525319,-0.129001,0.393521,8.50857
99,17.793465,953.969971,0.842076,0.87571,0.166667,0.0,0.83648,50432.0,0.328945,1.629147,0.108663,0.47817,-0.115903,0.45794,8.498144
100,18.188095,929.0,0.816221,0.84513,0.416667,0.0,0.836599,45902.0,0.323138,1.577396,0.108434,0.473633,-0.115088,0.396568,8.461166
101,17.700132,973.0,0.863552,0.889976,0.190476,0.0,0.834459,45546.0,0.352879,1.704673,0.121281,0.540229,-0.130396,0.417417,8.474332
102,17.371895,972.349976,0.879733,0.910482,0.086957,0.0,0.83345,48865.0,0.35245,1.71633,0.118875,0.512708,-0.122539,0.469302,8.483928
103,18.179792,939.780029,0.824801,0.856679,0.454545,0.0,0.832711,48480.0,0.331255,1.611796,0.112352,0.483662,-0.116984,0.43248,8.478057
104,18.452593,918.809998,0.836135,0.863822,0.35,0.0,0.833605,51088.0,0.336451,1.676159,0.11532,0.478624,-0.118084,0.466083,8.484011
105,15.425377,934.950012,0.862183,0.890634,0.238095,0.0,0.833367,49060.0,0.348832,1.657394,0.125137,0.521362,-0.127998,0.420374,8.510349
106,13.92269,924.460022,0.808035,0.838358,0.5,0.0,0.833314,50164.0,0.326308,1.602167,0.113964,0.469616,-0.111969,0.407465,8.478294
107,16.365461,929.890015,0.84918,0.878901,0.210526,0.0,0.834076,46703.0,0.334977,1.681688,0.118666,0.474465,-0.113538,0.455612,8.446291
108,12.94623,940.25,0.842387,0.870378,0.35,0.0,0.83335,49996.0,0.324839,1.638615,0.120359,0.478606,-0.116226,0.41939,8.466187
109,16.269913,954.109985,0.874468,0.903914,0.1,0.0,0.833793,45780.0,0.333949,1.677983,0.112754,0.48859,-0.113762,0.427173,8.484652
110,8.214865,926.380005,0.808191,0.840266,0.380952,0.0,0.833692,40794.0,0.324277,1.609694,0.111191,0.493429,-0.11799,0.425688,8.454724
111,9.571901,876.440002,0.796781,0.819182,0.65,0.0,0.833151,51840.0,0.312835,1.543645,0.110851,0.442152,-0.10652,0.422071,8.484718
112,10.585416,898.929993,0.834067,0.863267,0.227273,0.0,0.832849,46521.0,0.331242,1.616434,0.119014,0.545301,-0.129913,0.401964,8.424029
113,7.162558,902.450012,0.799561,0.825511,0.315789,0.0,0.833089,41271.0,0.315738,1.57048,0.111745,0.51267,-0.12233,0.408257,8.440061
114,8.576494,942.380005,0.865864,0.893866,0.263158,0.0,0.832288,31234.0,0.334418,1.662971,0.123016,0.505622,-0.122412,0.433593,8.467899
115,11.395594,960.51001,0.862278,0.890041,0.217391,0.0,0.833187,32067.0,0.343831,1.684903,0.117891,0.511268,-0.120848,0.412523,8.46562
116,13.529778,943.809998,0.824778,0.855755,0.434783,0.0,0.834323,35999.0,0.332782,1.624803,0.121529,0.549875,-0.13041,0.429709,8.487579
117,11.436193,905.219971,0.800571,0.829953,0.571429,0.0,0.833653,50426.0,0.325453,1.617375,0.126163,0.482147,-0.115008,0.384045,8.511549
118,16.266695,901.210022,0.830561,0.857701,0.285714,0.0,0.833389,52299.0,0.333785,1.64742,0.127079,0.499685,-0.120384,0.482519,8.420076
