iteration,reward,episode_length,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
190,69.309837,1000.0,-0.013116,0.0,0.0,0.223318,96191.0
191,69.396942,1000.0,-0.01312,0.0,0.0,0.221637,88262.0
192,69.444038,1000.0,-0.012713,0.0,0.0,0.220304,86645.0
193,69.419975,1000.0,-0.012805,0.0,0.0,0.219013,85673.0
194,69.514107,1000.0,-0.012541,0.0,0.0,0.217944,100123.0
195,69.527077,1000.0,-0.01249,0.0,0.0,0.216664,94491.0
196,69.766304,1000.0,-0.012366,0.0,0.0,0.215603,94083.0
197,69.827179,1000.0,-0.012548,0.0,0.0,0.214405,88475.0
198,69.790092,1000.0,-0.012382,0.0,0.0,0.21346,86170.0
199,69.849915,1000.0,-0.012384,0.0,0.0,0.211873,81594.0
200,69.917999,1000.0,-0.012069,0.0,0.0,0.210888,87425.0
201,69.859253,1000.0,-0.01227,0.0,0.0,0.210009,90229.0
202,70.010094,1000.0,-0.011967,0.0,0.0,0.20897,90818.0
203,70.057579,1000.0,-0.012038,0.0,0.0,0.208095,86745.0
204,70.114998,1000.0,-0.011888,0.0,0.0,0.206306,92788.0
205,70.214516,1000.0,-0.011788,0.0,0.0,0.205444,85490.0
206,70.21109,1000.0,-0.011844,0.0,0.0,0.203862,92895.0
207,70.473267,1000.0,-0.011519,0.0,0.0,0.203042,93424.0
208,70.412109,1000.0,-0.011556,0.0,0.0,0.201882,92019.0
209,70.439522,1000.0,-0.011664,0.0,0.0,0.200966,91851.0
210,70.554817,1000.0,-0.011636,0.0,0.0,0.200243,61722.0
211,70.478592,1000.0,-0.011563,0.0,0.0,0.198732,56338.0
212,70.610313,1000.0,-0.011448,0.0,0.0,0.197782,64183.0
213,70.628136,1000.0,-0.011385,0.0,0.0,0.196393,98007.0
214,70.658401,1000.0,-0.011489,0.0,0.0,0.19546,98356.0
215,70.781036,1000.0,-0.011362,0.0,0.0,0.194187,96369.0
216,70.930183,1000.0,-0.011361,0.0,0.0,0.192635,88193.0
217,70.858055,1000.0,-0.011347,0.0,0.0,0.191366,94875.0
218,70.933586,1000.0,-0.011329,0.0,0.0,0.190373,94557.0
219,71.049271,1000.0,-0.011132,0.0,0.0,0.189367,92460.0
220,71.07383,1000.0,-0.011201,0.0,0.0,0.188363,90482.0
221,71.050537,1000.0,-0.010988,0.0,0.0,0.187297,91197.0
222,71.155296,1000.0,-0.011024,0.0,0.0,0.186472,81037.0
223,71.194122,1000.0,-0.01102,0.0,0.0,0.185033,92188.0
224,71.191917,1000.0,-0.010834,0.0,0.0,0.183539,97837.0
225,71.285042,1000.0,-0.010881,0.0,0.0,0.182763,83035.0
226,71.232277,1000.0,-0.010876,0.0,0.0,0.18106,86363.0
227,71.274132,1000.0,-0.011101,0.0,0.0,0.180131,88506.0
228,71.374062,1000.0,-0.010638,0.0,0.0,0.179371,78436.0
229,71.426414,1000.0,-0.01054,0.0,0.0,0.178329,84844.0
230,71.470039,1000.0,-0.010396,0.0,0.0,0.177742,85742.0
231,71.432098,1000.0,-0.01048,0.0,0.0,0.177009,88946.0
232,70.919167,992.559998,-0.010751,0.041667,0.0,0.175856,86398.0
233,71.572678,1000.0,-0.010876,0.0,0.0,0.175355,81381.0
234,71.11026,992.809998,-0.010816,0.043478,0.0,0.174913,89292.0
235,71.676193,1000.0,-0.010446,0.0,0.0,0.174159,84046.0
236,71.509262,998.070007,-0.010295,0.043478,0.0,0.173582,99257.0
237,71.804893,1000.0,-0.010372,0.0,0.0,0.172634,93708.0
238,71.846611,1000.0,-0.010206,0.0,0.0,0.172008,96010.0
239,71.821877,1000.0,-0.010277,0.0,0.0,0.171059,86088.0
240,71.940002,1000.0,-0.010328,0.0,0.0,0.1704,94344.0
241,71.88855,1000.0,-0.010164,0.0,0.0,0.169677,94265.0
