iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error
126,59.806839,999.559998,0.926545,0.953226,0.041667,0.0,0.63416,42794.0,0.299136
127,60.710968,996.460022,0.924654,0.951981,0.043478,0.0,0.632774,43020.0,0.296765
128,59.105957,1000.0,0.927667,0.954033,0.0,0.0,0.631914,38988.0,0.296974
129,62.701653,993.950012,0.920592,0.94834,0.083333,0.0,0.63066,43442.0,0.292185
130,61.541862,990.710022,0.926294,0.952871,0.041667,0.0,0.628933,42509.0,0.295477
131,57.610058,1000.0,0.928507,0.954065,0.041667,0.0,0.626814,41476.0,0.296237
132,59.043976,996.109985,0.926229,0.953603,0.041667,0.0,0.625661,39447.0,0.295446
133,60.590317,999.710022,0.92804,0.955393,0.041667,0.0,0.623861,38545.0,0.291942
134,62.160862,991.150024,0.928741,0.952548,0.041667,0.0,0.622672,43404.0,0.288854
135,63.785313,999.640015,0.929714,0.956018,0.041667,0.0,0.620953,38318.0,0.294299
136,53.842186,990.440002,0.920606,0.947471,0.041667,0.0,0.620173,46207.0,0.289988
137,61.782963,1000.0,0.927579,0.95611,0.0,0.0,0.618342,46269.0,0.290008
138,60.121696,984.640015,0.910106,0.935589,0.083333,0.0,0.615599,46131.0,0.286582
139,61.984108,985.570007,0.923358,0.946509,0.045455,0.0,0.613734,42488.0,0.287938
140,62.38467,991.169983,0.925846,0.953196,0.047619,0.0,0.613024,49279.0,0.286376
141,59.776768,990.72998,0.919922,0.947793,0.043478,0.0,0.610469,47032.0,0.285689
142,62.26878,990.72998,0.93147,0.959596,0.0,0.0,0.609199,51009.0,0.283403
143,64.245804,1000.0,0.927026,0.959283,0.0,0.0,0.609031,51213.0,0.291977
144,60.553123,992.619995,0.894641,0.922308,0.045455,0.0,0.606252,48110.0,0.276445
145,57.287285,980.789978,0.912763,0.938971,0.1,0.0,0.604002,52478.0,0.283889
146,60.519211,982.47998,0.921549,0.948521,0.045455,0.0,0.6018,42776.0,0.288917
147,62.297863,982.719971,0.900997,0.92917,0.105263,0.0,0.600624,51745.0,0.275968
148,60.693085,982.719971,0.932935,0.959672,0.0,0.0,0.5984,49547.0,0.279908
149,62.094524,988.409973,0.926372,0.957436,0.0,0.0,0.597046,56016.0,0.283148
150,63.039494,1000.0,0.927714,0.958163,0.0,0.0,0.596894,49321.0,0.285451
151,62.622364,993.890015,0.893836,0.924587,0.052632,0.0,0.595567,48382.0,0.281297
152,65.755104,975.309998,0.885662,0.911729,0.166667,0.0,0.593721,49261.0,0.265037
153,62.505924,975.309998,0.931566,0.959431,0.0,0.0,0.591976,43259.0,0.284687
154,60.935413,976.01001,0.919229,0.944486,0.05,0.0,0.590383,46615.0,0.277337
155,61.550365,994.590027,0.930054,0.956154,0.0,0.0,0.589902,47256.0,0.280883
156,62.493313,990.440002,0.921268,0.945871,0.043478,0.0,0.590215,45687.0,0.286909
157,62.850002,995.849976,0.929767,0.958844,0.0,0.0,0.589728,50889.0,0.283567
158,62.303051,993.619995,0.91825,0.950833,0.055556,0.0,0.588757,48416.0,0.284809
159,60.713867,993.200012,0.928679,0.961002,0.055556,0.0,0.587885,43159.0,0.283318
160,63.50359,997.349976,0.932342,0.963233,0.0,0.0,0.587481,48316.0,0.277921
161,66.127678,999.580017,0.931837,0.961671,0.0,0.0,0.586568,53047.0,0.279785
162,67.350624,996.340027,0.923378,0.95465,0.052632,0.0,0.586044,51293.0,0.276846
163,65.083885,996.340027,0.934391,0.963642,0.0,0.0,0.58542,35520.0,0.278989
164,64.009499,993.880005,0.930103,0.958778,0.066667,0.0,0.585504,38861.0,0.279972
165,65.646782,988.27002,0.908087,0.935721,0.105263,0.0,0.584981,32185.0,0.269861
166,66.964844,986.830017,0.929687,0.957711,0.052632,0.0,0.584355,38264.0,0.274063
167,63.952888,997.440002,0.923913,0.959677,0.045455,0.0,0.583575,49269.0,0.277569
168,62.960419,1000.0,0.933669,0.960443,0.0,0.0,0.583594,45208.0,0.274216
169,65.403214,1000.0,0.93467,0.963507,0.0,0.0,0.583173,44800.0,0.27584
170,64.670853,1000.0,0.932065,0.961761,0.0,0.0,0.581868,46518.0,0.275056
171,63.672802,989.559998,0.922035,0.949583,0.083333,0.0,0.581721,40289.0,0.273671
172,68.20961,1000.0,0.932866,0.962002,0.0,0.0,0.580215,47747.0,0.273979
173,65.470192,1000.0,0.926934,0.955946,0.041667,0.0,0.579842,48310.0,0.272043
174,67.470032,990.289978,0.92775,0.956241,0.083333,0.0,0.578695,46702.0,0.272747
175,67.952629,1000.0,0.933602,0.963054,0.0,0.0,0.577845,43279.0,0.272588
176,64.893097,998.73999,0.931916,0.960112,0.041667,0.0,0.577304,42136.0,0.270127
177,64.74836,972.330017,0.917074,0.946065,0.125,0.0,0.575844,36120.0,0.268717
178,65.4347,997.330017,0.930555,0.959705,0.041667,0.0,0.574472,43144.0,0.275575
179,66.102226,991.140015,0.924818,0.952954,0.041667,0.0,0.5724,43681.0,0.27102
180,66.060608,998.869995,0.93329,0.959595,0.086957,0.0,0.570131,42502.0,0.271152
181,66.911156,985.900024,0.905978,0.934998,0.142857,0.0,0.568452,44544.0,0.268494
182,63.844814,991.940002,0.929657,0.961382,0.0,0.0,0.567325,43521.0,0.270688
183,69.908745,1000.0,0.932964,0.96207,0.0,0.0,0.565948,36744.0,0.270837
184,69.222054,1000.0,0.936713,0.964481,0.0,0.0,0.564755,48648.0,0.266461
185,65.931847,990.570007,0.908623,0.940721,0.047619,0.0,0.562644,42109.0,0.272648
186,67.217041,990.570007,0.933229,0.962721,0.0,0.0,0.560669,50316.0,0.271923
187,68.974007,1000.0,0.931381,0.96031,0.0,0.0,0.559211,46816.0,0.272274
188,67.69632,994.359985,0.905768,0.935068,0.047619,0.0,0.55778,46743.0,0.26741
189,68.70755,980.039978,0.91401,0.942553,0.1,0.0,0.556449,39509.0,0.263228
190,69.498878,985.679993,0.934213,0.964093,0.0,0.0,0.554814,46797.0,0.267338
191,68.384727,976.469971,0.925051,0.953056,0.105263,0.0,0.553798,45415.0,0.266155
192,67.791306,990.789978,0.936684,0.963965,0.0,0.0,0.552073,52739.0,0.268386
193,67.939384,982.320007,0.914308,0.94211,0.111111,0.0,0.551613,54021.0,0.263155
194,67.895668,976.73999,0.922778,0.945789,0.111111,0.0,0.55117,53085.0,0.262665
195,67.82383,985.210022,0.935825,0.964917,0.0,0.0,0.549804,42685.0,0.267096
196,69.34082,998.580017,0.928991,0.958838,0.05,0.0,0.548885,51780.0,0.270243
197,69.052597,998.580017,0.931962,0.961005,0.0,0.0,0.547815,51234.0,0.266002
198,70.184143,990.419983,0.929142,0.958343,0.045455,0.0,0.54686,47381.0,0.268711
199,69.753845,987.469971,0.928934,0.955701,0.071429,0.0,0.546194,55576.0,0.266019
200,71.326752,984.109985,0.919494,0.952878,0.055556,0.0,0.546388,46141.0,0.266091
201,69.274704,992.27002,0.932202,0.961729,0.0,0.0,0.545838,45137.0,0.271829
202,69.27861,996.640015,0.933162,0.962666,0.0,0.0,0.545519,41473.0,0.269937
203,69.63308,1000.0,0.932932,0.963123,0.0,0.0,0.544791,37716.0,0.26617
204,69.798782,1000.0,0.935115,0.966664,0.0,0.0,0.543318,33317.0,0.27069
205,71.163147,998.440002,0.932543,0.959761,0.058824,0.0,0.542874,35178.0,0.253319
206,69.487274,989.219971,0.920313,0.944883,0.235294,0.0,0.541791,36863.0,0.260533
207,72.07135,983.400024,0.919515,0.945431,0.111111,0.0,0.541435,42390.0,0.257794
208,72.164848,988.929993,0.932682,0.96194,0.045455,0.0,0.541786,45336.0,0.262508
209,68.691666,991.72998,0.923003,0.949495,0.086957,0.0,0.542425,43013.0,0.259339
210,68.509918,990.409973,0.93228,0.959408,0.130435,0.0,0.54144,39304.0,0.256903
211,75.125656,1000.0,0.937674,0.962346,0.041667,0.0,0.540792,46487.0,0.260035
212,71.925156,1000.0,0.935119,0.963501,0.041667,0.0,0.539249,46881.0,0.262235
213,74.974388,1000.0,0.937378,0.96428,0.0,0.0,0.538294,37113.0,0.258867
214,72.465759,998.109985,0.933851,0.96185,0.083333,0.0,0.536887,45884.0,0.258879
215,75.537224,1000.0,0.937172,0.963602,0.0,0.0,0.535645,47044.0,0.260366
216,69.389908,994.469971,0.929318,0.958486,0.041667,0.0,0.535777,47877.0,0.263094
217,71.416573,985.890015,0.926125,0.955948,0.083333,0.0,0.534213,45715.0,0.259811
218,74.032547,1000.0,0.938645,0.964421,0.041667,0.0,0.533579,45706.0,0.260322
219,73.839531,998.719971,0.933218,0.961307,0.041667,0.0,0.531519,37178.0,0.262038
220,76.07753,998.070007,0.935481,0.961353,0.041667,0.0,0.531013,47203.0,0.255407
221,72.200333,998.070007,0.935911,0.962564,0.0,0.0,0.530376,47187.0,0.259935
222,71.805161,1000.0,0.935435,0.965049,0.0,0.0,0.529111,48544.0,0.259693
223,73.259163,1000.0,0.938225,0.965235,0.0,0.0,0.527423,49859.0,0.261016
224,75.014977,992.960022,0.934122,0.960104,0.045455,0.0,0.527029,48833.0,0.251395
225,76.095985,992.960022,0.936806,0.963682,0.0,0.0,0.525948,38756.0,0.253321
226,74.080101,992.780029,0.920571,0.949582,0.052632,0.0,0.525285,49606.0,0.260451
227,73.976547,990.609985,0.936363,0.964117,0.045455,0.0,0.52483,45384.0,0.260522
228,76.497429,990.630005,0.918946,0.94804,0.05,0.0,0.523972,46593.0,0.25168
229,74.29213,984.799988,0.926071,0.954661,0.045455,0.0,0.523012,44067.0,0.257361
230,74.465942,992.0,0.937799,0.963769,0.0,0.0,0.521043,44436.0,0.254531
231,75.187935,1000.0,0.942604,0.966675,0.0,0.0,0.520493,48808.0,0.254127
232,74.296356,994.719971,0.92026,0.949515,0.058824,0.0,0.519046,40710.0,0.251811
233,74.542305,994.719971,0.938657,0.963512,0.0,0.0,0.517754,49790.0,0.252754
234,77.777519,994.719971,0.937809,0.966011,0.0,0.0,0.516238,49250.0,0.242058
235,77.79837,1000.0,0.93336,0.964525,0.0,0.0,0.516074,43563.0,0.256501
236,75.582222,995.200012,0.930391,0.960029,0.05,0.0,0.515372,51297.0,0.250739
237,72.158699,995.200012,0.939621,0.966032,0.0,0.0,0.514867,53159.0,0.262498
238,71.801575,989.460022,0.931232,0.955034,0.05,0.0,0.513812,40825.0,0.252503
239,72.414062,993.039978,0.933106,0.963434,0.047619,0.0,0.513609,47736.0,0.261869
240,73.277954,993.039978,0.937678,0.96465,0.0,0.0,0.513205,50636.0,0.256192
241,76.67968,994.23999,0.924823,0.951263,0.058824,0.0,0.511998,54908.0,0.248772
242,76.486206,995.460022,0.935606,0.957983,0.0,0.0,0.510555,55210.0,0.254896
243,76.657394,995.460022,0.940081,0.970434,0.0,0.0,0.509425,54659.0,0.256825
244,74.635323,994.440002,0.922845,0.950167,0.117647,0.0,0.508744,55879.0,0.25677
245,73.309731,994.440002,0.938027,0.96736,0.0,0.0,0.508932,45492.0,0.253655
246,72.974251,994.440002,0.932882,0.964793,0.0,0.0,0.507668,52208.0,0.261018
247,73.712669,1000.0,0.937882,0.967002,0.0,0.0,0.507579,61679.0,0.261068
248,76.759644,1000.0,0.927965,0.95973,0.0,0.0,0.506762,50793.0,0.252098
249,78.959412,1000.0,0.935817,0.966025,0.0,0.0,0.505284,53292.0,0.253319
250,78.557495,1000.0,0.932681,0.964225,0.0,0.0,0.505872,43490.0,0.250399
251,75.697876,1000.0,0.936106,0.966582,0.0,0.0,0.506743,42642.0,0.257412
252,75.805672,1000.0,0.93994,0.966538,0.0,0.0,0.50715,36594.0,0.249878
253,70.021042,1000.0,0.938389,0.966302,0.0,0.0,0.508471,43099.0,0.255422
254,74.441635,1000.0,0.938353,0.966421,0.0,0.0,0.508704,43369.0,0.25149
255,74.009232,1000.0,0.937586,0.967317,0.0,0.0,0.508886,43632.0,0.249575
256,73.073425,1000.0,0.940195,0.965811,0.0,0.0,0.508457,29713.0,0.248863
257,73.238113,1000.0,0.940061,0.967024,0.0,0.0,0.507922,26088.0,0.251477
258,72.620598,1000.0,0.936308,0.964199,0.0,0.0,0.50761,29956.0,0.253148
259,72.006111,1000.0,0.941127,0.966854,0.0,0.0,0.508161,41272.0,0.250543
260,70.80777,990.820007,0.921623,0.946715,0.041667,0.0,0.507379,38882.0,0.245679
261,71.994301,1000.0,0.936083,0.964195,0.0,0.0,0.506528,48015.0,0.251357
